group_type,group,trades,win_rate,avg_pnl,median_pnl,total_pnl,profit_factor,raw_sharpe_proxy,avg_confidence,avg_expected_return,avg_rank_score,avg_holding_days
ticker,O,27,0.4815,-2.8,-5.1,-75.5,0.756,-0.124,50.66,0.2204,0.0064,2.96
ticker,ECL,8,0.375,-9.52,-15.18,-76.13,0.359,-0.484,51.13,0.1588,0.0054,3.75
ticker,BRK-B,6,0.5,-12.73,-13.97,-76.4,0.428,-0.395,50.33,0.4417,-0.006,2.67
ticker,TJX,14,0.4286,-5.49,-9.77,-76.82,0.647,-0.197,51.55,0.2521,0.0026,3.5
ticker,ED,3,0.0,-25.84,-25.5,-77.52,0.0,-5.01,50.73,0.3,0.0163,3.67
ticker,INTC,3,0.0,-26.14,-31.32,-78.42,0.0,-1.781,52.39,-0.1467,-0.0013,4.0
ticker,MDT,2,0.0,-39.47,-39.47,-78.94,0.0,-13.29,52.26,0.15,-0.0025,3.0
ticker,UNH,33,0.4545,-2.5,-4.69,-82.37,0.787,-0.11,51.04,0.2588,-0.0053,3.27
ticker,ORCL,11,0.5455,-7.67,4.48,-84.32,0.517,-0.286,52.82,0.1882,-0.005,2.91
ticker,AAPL,7,0.4286,-12.18,-23.29,-85.26,0.358,-0.449,50.76,0.3471,0.0012,3.57
ticker,NUE,3,0.0,-29.08,-26.38,-87.23,0.0,-3.188,53.15,-0.0133,0.0226,4.0
ticker,AMD,8,0.375,-11.05,-13.2,-88.38,0.598,-0.21,52.08,0.285,0.0121,4.0
ticker,AMZN,3,0.3333,-30.25,-44.83,-90.76,0.149,-0.907,52.53,0.08,-0.0021,3.33
ticker,ABT,10,0.4,-9.38,-19.07,-93.83,0.36,-0.476,50.48,0.266,0.0005,3.1
ticker,FDX,14,0.5,-6.74,-8.35,-94.37,0.708,-0.165,50.96,0.1136,-0.0022,3.0
ticker,NOW,7,0.4286,-14.04,-28.83,-98.3,0.371,-0.462,50.71,0.0814,0.0314,3.43
ticker,KO,33,0.4848,-3.37,-0.64,-111.37,0.642,-0.197,50.89,0.2294,-0.0031,3.18
ticker,MA,19,0.3684,-6.0,-5.29,-113.94,0.598,-0.208,51.24,0.2721,-0.0033,3.84
ticker,SBUX,8,0.25,-14.6,-26.46,-116.84,0.269,-0.683,50.54,-0.0563,0.0049,2.12
ticker,MS,20,0.4,-5.9,-8.05,-118.0,0.618,-0.205,50.95,0.3345,-0.0048,4.15
ticker,UNP,24,0.4583,-5.03,-0.82,-120.77,0.544,-0.265,51.0,0.2492,-0.0038,3.12
ticker,TMUS,44,0.5,-3.12,0.02,-137.19,0.684,-0.165,50.89,0.2489,-0.0019,2.75
ticker,TXN,4,0.25,-34.89,-54.86,-139.55,0.195,-0.876,50.31,0.46,-0.0184,1.5
ticker,NVDA,13,0.5385,-10.89,0.94,-141.51,0.582,-0.22,51.84,0.4623,-0.0006,3.92
ticker,VLO,4,0.25,-35.38,-36.98,-141.53,0.284,-0.555,50.94,0.4525,0.0093,2.25
ticker,GS,6,0.1667,-25.79,-31.2,-154.71,0.128,-0.965,50.38,0.5067,-0.0004,3.5
ticker,CSCO,28,0.4286,-5.64,-3.11,-158.04,0.526,-0.272,51.11,0.2375,-0.0025,3.71
ticker,CRM,6,0.1667,-27.32,-27.32,-163.9,0.121,-0.964,51.78,0.3933,0.0084,4.83
ticker,ADBE,10,0.3,-16.72,-23.81,-167.23,0.44,-0.364,51.65,0.398,-0.0052,2.7
ticker,EQR,9,0.2222,-19.24,-23.72,-173.12,0.12,-1.041,50.09,0.2433,0.0048,3.44
ticker,KMI,18,0.3333,-9.98,-17.37,-179.64,0.401,-0.416,51.71,0.27,0.0011,2.78
ticker,F,9,0.3333,-20.04,-35.97,-180.39,0.312,-0.58,50.97,0.1789,0.0014,2.11
ticker,BMY,5,0.0,-45.56,-39.96,-227.78,0.0,-5.519,50.59,0.176,0.0125,3.6
ticker,VZ,20,0.3,-11.41,-19.05,-228.15,0.221,-0.752,50.9,0.254,-0.0077,2.65
ticker,AVGO,8,0.125,-28.94,-39.96,-231.53,0.17,-0.81,52.33,0.1662,0.0106,4.38
ticker,CVS,14,0.2857,-17.36,-21.7,-243.09,0.203,-0.729,50.69,0.2171,0.0095,3.71
