group_type,group,trades,win_rate,avg_pnl,median_pnl,total_pnl,profit_factor,raw_sharpe_proxy,avg_confidence,avg_expected_return,avg_rank_score,avg_holding_days
ticker,DD,13,0.6154,7.17,16.83,93.21,1.535,0.201,50.8,0.3546,0.432,3.54
ticker,D,3,1.0,29.53,36.75,88.59,,2.36,51.83,0.5567,2.1658,1.0
ticker,BKNG,13,0.5385,6.16,29.82,80.14,1.418,0.165,51.45,0.3892,0.7901,3.23
ticker,CVS,8,0.5,9.03,5.49,72.23,2.106,0.287,50.87,0.38,0.9702,4.25
ticker,NUE,9,0.5556,7.82,24.92,70.38,1.665,0.237,51.9,0.2978,0.8566,3.67
ticker,CI,6,0.5,11.68,14.36,70.05,2.899,0.471,50.57,0.29,0.1358,3.67
ticker,COF,6,0.6667,11.42,29.99,68.54,1.652,0.236,50.7,0.5633,0.0043,4.17
ticker,MDT,2,1.0,33.67,33.67,67.35,,3.421,50.67,0.47,1.6046,5.0
ticker,SYK,7,0.5714,9.49,14.17,66.4,2.467,0.412,51.27,0.45,0.5859,4.43
ticker,VLO,10,0.5,6.6,17.47,66.03,1.282,0.115,50.82,0.576,0.5624,3.4
ticker,AIG,6,0.5,10.41,9.51,62.46,3.312,0.501,50.26,0.385,0.3489,3.5
ticker,WMT,10,0.8,6.21,14.22,62.11,1.943,0.258,52.2,0.392,1.5336,2.6
ticker,WMB,4,0.75,15.38,24.0,61.54,3.133,0.569,50.34,0.215,0.2636,3.75
ticker,EQIX,4,0.75,15.29,23.72,61.15,2.669,0.476,50.23,0.3525,0.7381,2.25
ticker,SPGI,8,0.625,7.12,12.84,57.0,1.748,0.246,50.95,0.415,1.7579,3.88
ticker,UPS,3,1.0,18.72,18.98,56.17,,5.187,50.69,0.4133,0.7306,3.33
ticker,IFF,13,0.6923,4.17,10.93,54.25,1.779,0.244,51.6,0.1238,0.379,3.77
ticker,F,6,0.5,8.89,16.45,53.32,1.711,0.249,50.71,0.5617,1.5466,3.5
ticker,BRK-B,8,0.75,6.63,13.86,53.02,2.003,0.272,50.35,0.4662,1.5462,2.88
ticker,CSCO,8,0.625,5.74,11.14,45.92,1.767,0.252,50.45,0.145,0.1777,3.62
ticker,ECL,5,0.8,7.77,12.97,38.83,4.536,0.758,50.22,0.276,0.5859,5.0
