preset,defensive_mix,enter_threshold,exit_threshold,neutral_threshold,vol_target,total_return_pct,cagr_pct,sharpe,sortino,max_drawdown_pct,alpha_vs_spy_pct,alpha_vs_qqq_pct,alpha_vs_blend_pct,nw_tstat_vs_blend,max_gross_exposure_used,avg_gross_exposure,turnover_pct,estimated_cost_pct,paper_ready
conservative_unlevered,bil_ief,0.6,0.5,0.5499999999999999,0.1,-14.38,-1.38,-0.224,-0.246,-23.15,-326.58,-589.7,-431.83,-3.628,1.0,0.877,45248.77,45.2488,False
conservative_unlevered,bil_only,0.6,0.5,0.5499999999999999,0.12,-14.78,-1.42,-0.218,-0.181,-25.68,-326.98,-590.1,-432.23,-3.663,1.0,0.911,47365.45,47.3654,False
limited_leverage,bil_ief,0.6,0.5,0.5499999999999999,0.12,-15.34,-1.48,-0.152,-0.161,-28.96,-327.54,-590.66,-432.79,-3.635,1.25,0.954,53385.76,53.3858,False
conservative_unlevered,bil_only,0.6,0.5,0.5499999999999999,0.1,-16.69,-1.62,-0.297,-0.246,-23.28,-328.89,-592.01,-434.14,-3.687,1.0,0.877,45248.77,45.2488,False
defensive_trend,bil_only,0.6,0.5,0.5499999999999999,0.15,-17.21,-1.68,-0.207,-0.182,-28.92,-329.41,-592.53,-434.66,-3.656,1.2,0.99,58808.31,58.8083,False
limited_leverage,bil_only,0.6,0.5,0.5499999999999999,0.12,-17.46,-1.7,-0.193,-0.159,-30.35,-329.66,-592.78,-434.9,-3.694,1.25,0.954,53385.76,53.3858,False
limited_leverage,bil_ief,0.6,0.5,0.5499999999999999,0.1,-18.03,-1.76,-0.223,-0.235,-27.81,-330.23,-593.35,-435.48,-3.698,1.25,0.915,50641.54,50.6415,False
defensive_trend,bil_ief,0.6,0.5,0.5499999999999999,0.12,-19.0,-1.87,-0.256,-0.277,-27.4,-331.2,-594.32,-436.44,-3.688,1.2,0.945,50899.04,50.899,False
defensive_trend,bil_ief,0.55,0.45000000000000007,0.5,0.1,-19.02,-1.87,-0.279,-0.299,-31.03,-331.22,-594.34,-436.46,-3.714,1.2,0.905,50334.69,50.3347,False
limited_leverage,bil_only,0.6,0.5,0.5499999999999999,0.1,-20.24,-2.0,-0.276,-0.226,-28.1,-332.44,-595.56,-437.68,-3.759,1.25,0.915,50641.54,50.6415,False
defensive_trend,bil_ief,0.6,0.5,0.5499999999999999,0.1,-20.42,-2.02,-0.321,-0.349,-26.36,-332.61,-595.73,-437.86,-3.716,1.2,0.908,48440.66,48.4407,False
defensive_trend,bil_ief,0.55,0.45000000000000007,0.5,0.12,-22.06,-2.21,-0.29,-0.307,-33.42,-334.25,-597.38,-439.5,-3.786,1.2,0.945,53098.27,53.0983,False
defensive_trend,bil_only,0.55,0.45000000000000007,0.5,0.1,-22.5,-2.26,-0.371,-0.307,-33.31,-334.7,-597.82,-439.95,-3.804,1.2,0.905,54287.11,54.2871,False
defensive_trend,bil_only,0.6,0.5,0.5499999999999999,0.12,-24.82,-2.52,-0.384,-0.322,-30.08,-337.02,-600.14,-442.27,-3.836,1.2,0.945,55820.59,55.8206,False
defensive_trend,bil_only,0.6,0.5,0.5499999999999999,0.1,-25.77,-2.63,-0.466,-0.387,-28.58,-337.96,-601.08,-443.21,-3.852,1.2,0.908,52666.78,52.6668,False
defensive_trend,bil_only,0.55,0.45000000000000007,0.5,0.12,-26.13,-2.68,-0.382,-0.316,-36.01,-338.32,-601.45,-443.57,-3.894,1.2,0.945,57624.85,57.6249,False
