,equity,benchmark_spy_norm,benchmark_qqq_norm,benchmark_iwm_norm
2023-06-07,8673.729105957045,2.412765094880311,3.6205581876511026,1.7625038272420959
2023-06-08,8673.729105957045,2.4273590024853555,3.665501015398041,1.7559144018980894
2023-06-09,8673.729105957045,2.4317142495813644,3.6795139758067856,1.7417008505106144
2023-06-12,8673.729105957045,2.4537744488223936,3.7416864134277867,1.748948951177937
2023-06-13,8673.729105957045,2.4699521315668864,3.7704379985012824,1.7689986895523064
2023-06-14,8673.729105957045,2.4728934795068036,3.7978388358037134,1.7499843941304116
2023-06-15,8673.729105957045,2.5035515202286063,3.8430933993727567,1.764386329332466
2023-06-16,8673.729105957045,2.495023638234115,3.8189095339098134,1.7502667471763769
2023-06-20,8673.729105957045,2.482079160055645,3.813442712739953,1.7426421757811006
2023-06-21,8673.729105957045,2.469361781132644,3.76147438471263,1.7385945216531904
2023-06-22,8673.729105957045,2.478275337218178,3.8058546695334328,1.7256984693629502
2023-06-23,8673.729105957045,2.459539828025232,3.7681262533303266,1.699718426319698
2023-06-26,8673.729105957045,2.4494904168957543,3.717613122305053,1.7014128414966938
2023-06-27,8673.729105957045,2.476345172929984,3.7815341174225345,1.7259811193101204
2023-06-28,8673.729105957045,2.477594039451769,3.7889139069154254,1.7344528982938943
2023-06-29,8673.729105957045,2.487359128053664,3.7813265084572447,1.7544083705356728
2023-06-30,8673.729105957045,2.51671197589806,3.8396349692801595,1.762785883386856
2023-07-03,8673.729105957045,2.5196070429470523,3.84867724236622,1.7663629491048243
2023-07-05,8673.729105957045,2.5158602639984,3.848573115509405,1.7487605673633577
2023-07-06,8673.729105957045,2.4961594932780593,3.8192628559998103,1.720521551501782
2023-07-07,8673.729105957045,2.4898573992471285,3.8065822680344574,1.7386887877857813
2023-07-10,8673.729105957045,2.4961594932780593,3.8078298560712165,1.7684341319109786
2023-07-11,8673.729105957045,2.5120560823943365,3.826642967866871,1.786601071293773
2023-07-12,8673.729105957045,2.5322680955144308,3.8749729810149014,1.806086400477417
2023-07-13,8673.729105957045,2.5523663796234923,3.940765358187522,1.820676571043448
2023-07-14,8673.729105957045,2.550776505451907,3.9399339552038524,1.8028855085861972
2023-07-17,8673.729105957045,2.5596335557985204,3.9767271639406436,1.8221827508564672
