date,score_column,rank_ic,n_names
2016-01-20,expected_return,0.10728,28
2016-01-20,p_up_raw,0.357417,28
2016-01-21,confidence,0.22879,28
2016-01-21,expected_return,-0.073344,28
2016-01-21,p_up_raw,0.243569,28
2016-01-22,confidence,-0.005473,28
2016-01-22,expected_return,-0.022989,28
2016-01-22,p_up_raw,0.087028,28
2016-01-25,confidence,0.287356,28
2016-01-25,expected_return,0.2474,28
2016-01-25,p_up_raw,0.405583,28
2016-01-26,confidence,-0.119869,28
2016-01-26,expected_return,0.253421,28
2016-01-26,p_up_raw,-0.064587,28
2016-01-27,confidence,-0.286809,28
2016-01-27,expected_return,0.011494,28
2016-01-27,p_up_raw,-0.07225,28
2016-01-28,confidence,-0.208539,28
2016-01-28,expected_return,0.187192,28
2016-01-28,p_up_raw,-0.15052,28
2016-01-29,confidence,-0.294472,28
2016-01-29,expected_return,-0.041598,28
2016-01-29,p_up_raw,0.225506,28
2016-02-01,confidence,0.038314,28
2016-02-01,expected_return,0.128626,28
2016-02-01,p_up_raw,0.038314,28
2016-02-02,confidence,-0.128079,28
2016-02-02,expected_return,-0.262178,28
2016-02-02,p_up_raw,-0.128079,28
2016-02-03,confidence,0.364532,28
2016-02-03,expected_return,-0.460317,28
2016-02-03,p_up_raw,0.303777,28
2016-02-04,confidence,-0.153257,28
2016-02-04,expected_return,-0.1341,28
2016-02-04,p_up_raw,-0.03503,28
2016-02-05,confidence,-0.097975,28
2016-02-05,expected_return,-0.029009,28
2016-02-05,p_up_raw,0.221675,28
2016-02-08,confidence,0.037767,28
2016-02-08,expected_return,-0.163109,28
2016-02-08,p_up_raw,0.003284,28
2016-02-09,confidence,0.197044,28
2016-02-09,expected_return,-0.18555,28
2016-02-09,p_up_raw,0.210181,28
2016-02-10,confidence,0.0104,28
2016-02-10,expected_return,0.057471,28
2016-02-10,p_up_raw,0.027915,28
2016-02-11,confidence,0.349206,28
2016-02-11,expected_return,-0.146689,28
2016-02-11,p_up_raw,-0.104543,28
2016-02-12,confidence,0.270389,28
2016-02-12,expected_return,-0.055282,28
2016-02-12,p_up_raw,-0.10509,28
2016-02-16,confidence,0.054735,28
2016-02-16,expected_return,0.022989,28
2016-02-16,p_up_raw,-0.088123,28
2016-02-17,confidence,0.303229,28
2016-02-17,expected_return,0.090312,28
2016-02-17,p_up_raw,0.112753,28
2016-02-18,confidence,0.159278,28
2016-02-18,expected_return,-0.231527,28
2016-02-18,p_up_raw,-0.328407,28
2016-02-19,confidence,-0.029557,28
2016-02-19,expected_return,-0.26601,28
2016-02-19,p_up_raw,-0.202518,28
2016-02-22,confidence,0.363437,28
2016-02-22,expected_return,-0.328955,28
2016-02-22,p_up_raw,-0.369458,28
2016-02-23,confidence,-0.325123,28
2016-02-23,expected_return,-0.189381,28
2016-02-23,p_up_raw,-0.487685,28
2016-02-24,confidence,-0.076081,28
2016-02-24,expected_return,0.063492,28
2016-02-24,p_up_raw,-0.232622,28
2016-02-25,confidence,0.380952,28
2016-02-25,expected_return,-0.382594,28
2016-02-25,p_up_raw,-0.257252,28
2016-02-26,confidence,0.060208,28
2016-02-26,expected_return,-0.331144,28
2016-02-26,p_up_raw,-0.392447,28
2016-02-29,confidence,-0.153804,28
2016-02-29,expected_return,-0.105638,28
2016-02-29,p_up_raw,-0.22879,28
2016-03-01,confidence,0.07006,28
2016-03-01,expected_return,0.085386,28
2016-03-01,p_up_raw,0.145594,28
2016-03-02,confidence,-0.385331,28
2016-03-02,expected_return,0.225506,28
2016-03-02,p_up_raw,0.128079,28
2016-03-03,confidence,0.135194,28
2016-03-03,expected_return,0.099617,28
2016-03-03,p_up_raw,0.128626,28
2016-03-04,confidence,0.002737,28
2016-03-04,expected_return,-0.116585,28
2016-03-04,p_up_raw,-0.148331,28
2016-03-07,confidence,-0.43295,28
2016-03-07,expected_return,-0.232074,28
2016-03-07,p_up_raw,-0.429666,28
2016-03-08,confidence,0.137384,28
2016-03-08,expected_return,0.201423,28
2016-03-08,p_up_raw,-0.260536,28
2016-03-09,confidence,0.216201,28
2016-03-09,expected_return,0.267105,28
2016-03-09,p_up_raw,-0.157088,28
2016-03-10,confidence,0.250684,28
2016-03-10,expected_return,0.112753,28
2016-03-10,p_up_raw,-0.248495,28
2016-03-11,confidence,0.160372,28
2016-03-11,expected_return,0.165298,28
2016-03-11,p_up_raw,-0.054187,28
2016-03-14,confidence,0.242474,28
2016-03-14,expected_return,-0.188287,28
2016-03-14,p_up_raw,-0.250684,28
2016-03-15,confidence,0.298851,28
2016-03-15,expected_return,0.366721,28
2016-03-15,p_up_raw,0.211275,28
2016-03-16,confidence,-0.00821,28
2016-03-16,expected_return,0.354132,28
2016-03-16,p_up_raw,-0.014231,28
2016-03-17,confidence,0.128079,28
2016-03-17,expected_return,0.249589,28
2016-03-17,p_up_raw,0.110564,28
2016-03-18,confidence,0.090859,28
2016-03-18,expected_return,0.084291,28
2016-03-18,p_up_raw,0.093596,28
2016-03-21,confidence,-0.049808,28
2016-03-21,expected_return,0.296114,28
2016-03-21,p_up_raw,0.055829,28
2016-03-22,confidence,0.193213,28
2016-03-22,expected_return,0.285167,28
2016-03-22,p_up_raw,0.067871,28
2016-03-23,confidence,-0.213465,28
2016-03-23,expected_return,0.409414,28
