date,ticker,signal,signal_quality,confidence,expected_return,entry_date,exit_date,entry_price,exit_price,holding_days,exit_reason,position_pct,net_pnl
2023-04-21,AAPL,LONG,MEDIUM,71.73948884010315,0.918533131480217,2023-04-24,2023-05-08,162.8542,170.8016,14,time_exit,15.0,77.09
2023-04-24,AAPL,LONG,MEDIUM,72.01390862464905,0.8864353895187378,2023-04-25,2023-05-09,163.0418,169.0985,14,time_exit,15.0,59.09
2023-04-25,AAPL,LONG,MEDIUM,73.69139194488525,0.853479892015457,2023-04-26,2023-05-10,160.9395,170.8606,14,time_exit,15.0,98.66
2023-04-26,AAPL,LONG,MEDIUM,71.98755741119385,0.8569080531597137,2023-04-27,2023-05-11,163.0417,171.0475,14,time_exit,15.0,79.3
2023-05-01,AAPL,LONG,MEDIUM,72.69383072853088,0.8866256326436999,2023-05-02,2023-05-16,167.878,169.6281,14,time_exit,15.0,16.88
2023-05-08,AAPL,LONG,MEDIUM,74.75828528404236,0.9949612617492678,2023-05-09,2023-05-23,170.7991,169.1254,14,time_exit,15.0,-16.09
2023-05-25,AAPL,LONG,MEDIUM,72.14094400405884,0.9076665788888932,2023-05-26,2023-06-12,171.3022,181.1821,17,time_exit,15.0,93.85
2023-05-26,AAPL,LONG,MEDIUM,71.45590782165527,0.8898818790912628,2023-05-30,2023-06-13,174.8998,180.709,14,time_exit,15.0,54.48
2023-05-30,AAPL,LONG,MEDIUM,73.55769872665405,0.8898818790912628,2023-05-31,2023-06-14,175.2653,181.3399,14,time_exit,15.0,57.14
2023-06-13,AAPL,LONG,MEDIUM,73.36005568504333,0.9152988940477372,2023-06-14,2023-06-29,181.2347,186.9,15,time_exit,15.0,51.79
2023-06-14,AAPL,LONG,MEDIUM,76.29151940345764,0.9152988940477372,2023-06-15,2023-06-30,181.8179,191.2179,15,time_exit,15.0,86.13
2023-06-20,AAPL,LONG,MEDIUM,79.53727841377258,0.7709801346063614,2023-06-21,2023-07-06,182.7468,189.0881,15,time_exit,15.0,58.22
2023-06-21,AAPL,LONG,MEDIUM,78.40136885643005,0.9096994698047638,2023-06-22,2023-07-07,181.6003,187.974,15,time_exit,15.0,59.2
2023-06-22,AAPL,LONG,MEDIUM,73.92979860305786,0.9130040407180786,2023-06-23,2023-07-10,183.3892,185.9335,17,time_exit,15.0,23.47
2023-06-23,AAPL,LONG,MEDIUM,83.23957324028015,0.9209445863962176,2023-06-26,2023-07-11,184.6543,185.411,15,time_exit,15.0,6.88
2023-06-26,AAPL,LONG,MEDIUM,78.22290658950806,0.9096994698047638,2023-06-27,2023-07-12,183.7253,187.077,15,time_exit,15.0,30.97
2023-06-27,AAPL,LONG,MEDIUM,80.8380126953125,0.9130040407180786,2023-06-28,2023-07-13,185.7416,187.836,15,time_exit,15.0,19.16
2023-06-28,AAPL,LONG,MEDIUM,82.95142650604248,0.9130040407180786,2023-06-29,2023-07-14,186.8783,187.9839,15,time_exit,15.0,10.03
2023-06-29,AAPL,LONG,MEDIUM,81.79258108139038,0.9135473221540452,2023-06-30,2023-07-17,189.3985,191.237,17,time_exit,15.0,16.53
2023-07-06,AAPL,LONG,MEDIUM,77.6620626449585,0.7709801346063614,2023-07-07,2023-07-21,189.1815,189.2162,14,time_exit,15.0,0.22
2023-07-07,AAPL,LONG,MEDIUM,77.17959880828857,0.9119995683431624,2023-07-10,2023-07-24,187.0566,190.0146,14,time_exit,15.0,27.02
2023-07-10,AAPL,LONG,MEDIUM,78.34447026252747,0.9152988940477372,2023-07-11,2023-07-25,186.9578,190.8722,14,time_exit,15.0,35.89
2023-07-11,AAPL,LONG,MEDIUM,70.99480032920837,0.9130040407180786,2023-07-12,2023-07-26,187.4717,191.7397,14,time_exit,15.0,39.15
2023-07-28,AAPL,LONG,MEDIUM,72.82352447509766,0.8767013102769851,2023-07-31,2023-08-04,193.7777,185.5467,4,stop_loss,15.0,-73.56
2023-08-02,AAPL,LONG,MEDIUM,75.76621770858765,0.8567803651094438,2023-08-03,2023-08-04,189.34,181.2975,1,stop_loss,15.0,-73.09
2023-08-03,AAPL,LONG,MEDIUM,80.72546720504761,0.8683301508426666,2023-08-04,2023-08-07,183.3602,175.5719,3,stop_loss,15.0,-72.62
2023-08-04,AAPL,LONG,MEDIUM,82.82893300056458,0.9960649013519284,2023-08-07,2023-08-17,180.0096,172.3636,10,stop_loss,15.0,-72.16
