date,n_positions,gross_exposure,net_exposure,turnover,cost,period_return
2012-12-04,5,1.0,1.0,2.0,0.002,0.005118836817848357
2012-12-11,5,1.0,1.0,2.0,0.002,0.022000408286801776
2012-12-18,5,1.0,1.0,2.0,0.002,-0.03365643626671311
2012-12-26,5,1.0,1.0,2.0,0.002,0.047295830949584124
2013-01-03,5,1.0,1.0,2.0,0.002,-0.0389010870831042
2013-01-10,5,1.0,1.0,2.0,0.002,0.02262086915705843
2013-01-17,5,1.0000000000000002,1.0000000000000002,2.0,0.002,0.021221413508294637
2013-01-25,5,1.0,1.0,2.0,0.002,0.0017694226373290455
2013-02-01,5,1.0,1.0,2.0,0.002,0.02544943735300354
2013-02-08,5,1.0000000000000002,1.0000000000000002,2.0,0.002,0.0088228412981957
2013-02-15,5,1.0,1.0,2.0,0.002,-0.025805050355820723
2013-02-25,5,1.0,1.0,2.0,0.002,-0.0002446611291408128
2013-03-04,5,1.0,1.0,2.0,0.002,0.027824542090536315
2013-03-11,5,1.0000000000000002,1.0000000000000002,2.0,0.002,-0.0037802567283131143
2013-03-18,5,1.0,1.0,1.9999999999999998,0.0019999999999999996,0.0313634052309521
2013-03-25,5,1.0,1.0,2.0,0.002,-0.01974986934549429
2013-04-02,5,1.0,1.0,2.0,0.002,0.04252490281361935
2013-04-09,5,1.0,1.0,2.0,0.002,0.03832597009492364
2013-04-16,5,1.0,1.0,2.0,0.002,0.020779820271129706
2013-04-23,5,1.0,1.0,2.0000000000000004,0.0020000000000000005,0.01195838513669443
2013-04-30,5,1.0,1.0,2.0,0.002,0.03551951476621775
2013-05-07,5,1.0,1.0,2.0,0.002,0.001814636444652606
2013-05-14,5,1.0,1.0,2.0000000000000004,0.0020000000000000005,0.00569334533369543
2013-05-21,5,1.0,1.0,2.0,0.002,-0.018597033651327526
2013-05-29,5,1.0,1.0,2.0000000000000004,0.0020000000000000005,-0.04854478907378582
2013-06-05,5,1.0,1.0,2.0,0.002,-0.013814725066321804
2013-06-12,5,1.0,1.0,2.0,0.002,0.02935199737444831
2013-06-19,5,1.0,1.0,2.0,0.002,-0.02957715561944247
2013-06-26,5,1.0,1.0,2.0000000000000004,0.0020000000000000005,0.02637432160971638
2013-07-03,5,1.0,1.0,2.0,0.002,0.03560810461212751
2013-07-11,5,1.0,1.0,2.0000000000000004,0.0020000000000000005,-0.0034156927399449236
2013-07-18,5,1.0,1.0,2.0,0.002,0.0060524719857758
2013-07-25,5,1.0000000000000002,1.0000000000000002,2.0,0.002,-0.013757445709932259
2013-08-01,5,1.0000000000000002,1.0000000000000002,2.0,0.002,-0.010319299879519715
2013-08-08,5,1.0,1.0,2.0,0.002,-0.010924840919944247
2013-08-15,5,1.0,1.0,2.0,0.002,0.011967869062121718
2013-08-22,5,0.9999999999999999,0.9999999999999999,2.0,0.002,-0.0028178699803365825
2013-08-29,5,1.0000000000000002,1.0000000000000002,2.0,0.002,0.013502158841292957
2013-09-06,5,1.0,1.0,2.0,0.002,0.0049168239010101405
2013-09-13,5,1.0,1.0,2.0,0.002,-0.007174932201382922
2013-09-20,5,1.0,1.0,2.0,0.002,0.019437861332052525
2013-09-27,5,1.0,1.0,2.0000000000000004,0.0020000000000000005,0.016661721481316644
2013-10-04,5,1.0,1.0,2.0,0.002,0.02937321908656361
2013-10-11,5,1.0,1.0,2.0000000000000004,0.0020000000000000005,0.025716460863272225
2013-10-18,5,1.0,1.0,2.0000000000000004,0.0020000000000000005,-0.025143527704007306
2013-10-25,5,1.0,1.0,2.0,0.002,0.003200570265415467
2013-11-01,5,1.0,1.0,2.0,0.002,-0.028838145119858424
2013-11-08,5,1.0,1.0,2.0,0.002,-0.006588578693327937
2013-11-15,5,1.0000000000000002,1.0000000000000002,2.0,0.002,-0.018586153963203185
2013-11-22,5,1.0000000000000002,1.0000000000000002,2.0,0.002,0.0024805684136365302
2013-12-02,5,1.0,1.0,2.0,0.002,-0.00038663780173066385
