core_preset,regime_mode,regime_ma_window,regime_high_vol,high_vol_mode,regime_counts,core_spy_weight,core_qqq_weight,score_source,shape,weighting,exit_rank_floor,adaptive_exit_mode,max_per_sector,earnings_blackout_days,core_gross,overlay_gross,cost_stress,holding_days,score_blend,early_rebalance,drawdown_circuit_breaker,vol_target,max_gross_exposure,max_single_name_weight,total_return_pct,cagr_pct,sharpe,max_drawdown_pct,alpha_vs_spy_pct,alpha_vs_qqq_pct,alpha_vs_blend_pct,nw_tstat_vs_blend,turnover_pct,estimated_cost_pct,avg_gross_exposure,avg_overlay_positions,max_single_name_weight_realized,avg_effective_overlay_names,max_sector_overlay_weight,top_ticker_overlay_contributor,top_ticker_overlay_contribution_share,holdout_alpha_vs_qqq_pct,holdout_alpha_vs_blend_pct,subperiod_stability_pass,year_alpha_concentration_pass,single_name_weight_cap_pass,top_ticker_contribution_pass,holdout_2023_2026_vs_qqq_pass,holdout_2023_2026_vs_blend_pass,paper_ready,stress_cost_levels,stress_has_required_costs,stress_all_gates_pass,stress_min_alpha_vs_spy_pct,stress_min_alpha_vs_qqq_pct,stress_min_alpha_vs_blend_pct,stress_min_holdout_alpha_vs_qqq_pct,stress_min_holdout_alpha_vs_blend_pct,robust_cost_stress_pass,robustness_score,drawdown_penalty,turnover_penalty,instability_penalty,row_gate_pass_before_cost_stress
qqq_trend_switch_overlay70_core55_cashbuffer,qqq_trend_switch_overlay70_core55_cashbuffer,100,0.3,fixed,"{""neutral"": 16, ""risk_off"": 41, ""risk_on"": 149}",0.0,1.0,regime_adaptive,top10,sticky_vol_score,0.8,fixed,2,5,0.55,0.5,5.0,20,False,False,0.0,0.0,1.25,0.25,2409.52,21.79,1.189,-28.49,1674.04,892.72,1361.51,3.008,7365.71,36.8285,1.044,9.95,0.2189,7.457,0.281,NVDA,0.078,1.64,26.92,True,True,True,True,True,True,True,"2.0,3.0,5.0",True,True,1674.04,892.72,1361.51,1.64,26.92,True,0.9311,0.1396,0.1183,0.0,True
qqq_trend_switch_overlay70_core55_cashbuffer,qqq_trend_switch_overlay70_core55_cashbuffer,100,0.3,fixed,"{""neutral"": 34, ""risk_off"": 77, ""risk_on"": 300}",0.0,1.0,regime_adaptive,top5,sticky_score,0.8,fixed,2,5,0.55,0.5,2.0,10,False,False,0.0,0.0,1.25,0.25,4946.28,27.18,1.303,-30.55,4183.53,3321.46,3838.7,3.769,9814.22,19.6284,1.046,5.0,0.25,4.153,0.3667,NVDA,0.136,126.14,156.25,True,True,True,True,True,True,True,"2.0,3.0,5.0",True,True,2902.91,2040.85,2558.09,107.04,137.16,True,0.8403,0.222,0.2407,0.0,True
qqq_trend_switch_overlay70_core55_cashbuffer,qqq_trend_switch_overlay70_core55_cashbuffer,100,0.3,fixed,"{""neutral"": 34, ""risk_off"": 77, ""risk_on"": 300}",0.0,1.0,regime_adaptive,top10,sticky_score,0.8,fixed,2,5,0.55,0.5,2.0,10,False,False,0.0,0.0,1.25,0.25,3671.09,24.93,1.308,-30.41,2908.34,2046.28,2563.52,3.817,10384.6,20.7692,1.046,10.0,0.2343,7.644,0.2731,NVDA,0.105,31.65,61.77,True,True,True,True,True,True,True,"2.0,3.0,5.0",True,True,1902.99,1040.92,1558.16,16.0,46.11,True,0.8224,0.2164,0.2692,0.0,True
qqq_trend_switch_overlay70_core55_cashbuffer,qqq_trend_switch_overlay70_core55_cashbuffer,100,0.3,fixed,"{""neutral"": 34, ""risk_off"": 77, ""risk_on"": 300}",0.0,1.0,regime_adaptive,top5,sticky_vol_score,0.8,fixed,2,5,0.55,0.5,2.0,10,False,False,0.0,0.0,1.25,0.25,4142.14,25.83,1.294,-30.27,3379.39,2517.32,3034.56,3.665,10233.66,20.4673,1.046,5.0,0.25,4.14,0.3462,NVDA,0.127,109.45,139.57,True,True,True,True,True,True,True,"2.0,3.0,5.0",True,True,2263.52,1401.46,1918.7,89.98,120.1,True,0.8215,0.2108,0.2617,0.0,True
qqq_trend_switch_overlay70_core55_cashbuffer,qqq_trend_switch_overlay70_core55_cashbuffer,100,0.3,fixed,"{""neutral"": 34, ""risk_off"": 77, ""risk_on"": 300}",0.0,1.0,regime_adaptive,top5,sticky_score,0.8,fixed,2,5,0.55,0.5,3.0,10,False,False,0.0,0.0,1.25,0.25,4477.41,26.42,1.272,-30.66,3714.66,2852.6,3369.83,3.515,9814.22,29.4427,1.046,5.0,0.25,4.153,0.3667,NVDA,0.136,119.66,149.78,True,True,True,True,True,True,True,"2.0,3.0,5.0",True,True,2902.91,2040.85,2558.09,107.04,137.16,True,0.8049,0.2264,0.2407,0.0,True
qqq_trend_switch_overlay70_core55_cashbuffer,qqq_trend_switch_overlay70_core55_cashbuffer,100,0.3,fixed,"{""neutral"": 34, ""risk_off"": 77, ""risk_on"": 300}",0.0,1.0,regime_adaptive,top10,sticky_vol_score,0.8,fixed,2,5,0.55,0.5,2.0,10,False,False,0.0,0.0,1.25,0.25,3059.38,23.58,1.296,-29.93,2296.64,1434.57,1951.81,3.734,10917.95,21.8359,1.046,10.0,0.2475,7.556,0.277,NVDA,0.085,16.38,46.5,True,True,True,True,True,True,True,"2.0,3.0,5.0",True,True,1417.9,555.84,1073.08,0.31,30.42,True,0.8029,0.1972,0.2959,0.0,True
qqq_trend_switch_overlay70_core55_cashbuffer,qqq_trend_switch_overlay70_core55_cashbuffer,100,0.3,fixed,"{""neutral"": 34, ""risk_off"": 77, ""risk_on"": 300}",0.0,1.0,regime_adaptive,top5,sticky_vol_score,0.8,fixed,2,5,0.55,0.5,3.0,10,False,False,0.0,0.0,1.25,0.25,3731.99,25.05,1.261,-30.37,2969.24,2107.18,2624.42,3.369,10233.66,30.701,1.046,5.0,0.25,4.14,0.3462,NVDA,0.127,102.85,132.97,True,True,True,True,True,True,True,"2.0,3.0,5.0",True,True,2263.52,1401.46,1918.7,89.98,120.1,True,0.7845,0.2148,0.2617,0.0,True
qqq_trend_switch_overlay70_core55_cashbuffer,qqq_trend_switch_overlay70_core55_cashbuffer,100,0.3,fixed,"{""neutral"": 34, ""risk_off"": 77, ""risk_on"": 300}",0.0,1.0,regime_adaptive,top10,sticky_score,0.8,fixed,2,5,0.55,0.5,3.0,10,False,False,0.0,0.0,1.25,0.25,3301.0,24.14,1.273,-30.51,2538.25,1676.19,2193.43,3.467,10384.6,31.1538,1.046,10.0,0.2343,7.644,0.2731,NVDA,0.105,26.34,56.46,True,True,True,True,True,True,True,"2.0,3.0,5.0",True,True,1902.99,1040.92,1558.16,16.0,46.11,True,0.7834,0.2204,0.2692,0.0,True
qqq_trend_switch_overlay70_core55_cashbuffer,qqq_trend_switch_overlay70_core55_cashbuffer,100,0.3,fixed,"{""neutral"": 34, ""risk_off"": 77, ""risk_on"": 300}",0.0,1.0,regime_adaptive,top10,sticky_vol_score,0.8,fixed,2,5,0.55,0.5,3.0,10,False,False,0.0,0.0,1.25,0.25,2734.31,22.76,1.258,-30.04,1971.56,1109.5,1626.73,3.304,10917.95,32.7539,1.046,10.0,0.2475,7.556,0.277,NVDA,0.085,10.91,41.03,True,True,True,True,True,True,True,"2.0,3.0,5.0",True,True,1417.9,555.84,1073.08,0.31,30.42,True,0.7605,0.2016,0.2959,0.0,True
qqq_trend_switch_overlay70_core55_cashbuffer,qqq_trend_switch_overlay70_core55_cashbuffer,100,0.3,fixed,"{""neutral"": 34, ""risk_off"": 77, ""risk_on"": 300}",0.0,1.0,regime_adaptive,top5,sticky_vol_score,0.8,fixed,1,5,0.55,0.5,2.0,10,False,False,0.0,0.0,1.25,0.25,3497.35,24.57,1.257,-30.52,2734.6,1872.54,2389.78,3.351,10528.39,21.0568,1.046,5.0,0.25,3.898,0.25,NFLX,0.102,26.6,56.72,True,True,True,True,True,True,True,"2.0,3.0,5.0",True,True,1764.17,902.11,1419.35,11.24,41.35,True,0.7598,0.2208,0.2764,0.0,True
