ticker,trades,win_rate,avg_pnl,median_pnl,total_pnl,long_trades,short_trades
MRK,2,0.0,-42.9,-42.9,-85.8,2,0
NEM,3,0.3333,-30.4633,-32.19,-91.39,3,0
UNH,6,0.3333,-15.7983,-20.815,-94.79,6,0
LYV,13,0.5385,-7.4215,3.66,-96.48,13,0
HSY,14,0.5,-6.9743,-3.64,-97.64,14,0
APD,7,0.2857,-14.2414,-7.47,-99.69,7,0
AVGO,18,0.5,-5.6194,-0.485,-101.15,18,0
AAPL,2,0.0,-52.53,-52.53,-105.06,2,0
O,7,0.2857,-15.3443,-24.1,-107.41,7,0
CSX,6,0.3333,-18.4017,-19.405,-110.41,6,0
EOG,4,0.25,-28.8975,-37.725,-115.59,4,0
WMB,4,0.25,-30.105,-46.595,-120.42,4,0
GIS,11,0.3636,-11.1836,-25.35,-123.02,11,0
OXY,6,0.3333,-20.61,-18.925,-123.66,6,0
NOW,14,0.3571,-8.9686,-13.655,-125.56,14,0
GOOGL,4,0.25,-32.165,-52.94,-128.66,4,0
CCI,5,0.2,-30.688,-38.27,-153.44,5,0
CRM,4,0.25,-38.88,-52.315,-155.52,4,0
EXC,9,0.3333,-18.8533,-28.04,-169.68,9,0
GE,7,0.2857,-25.4386,-24.19,-178.07,7,0
DOW,6,0.3333,-30.2467,-65.365,-181.48,6,0
VLO,4,0.0,-46.52,-46.55,-186.08,4,0
BA,19,0.3158,-10.7011,-27.37,-203.32,19,0
QCOM,10,0.5,-20.697,-24.0,-206.97,10,0
CVX,6,0.3333,-35.7267,-58.01,-214.36,6,0
ADBE,4,0.0,-54.7725,-60.195,-219.09,4,0
AMAT,5,0.0,-45.192,-48.83,-225.96,5,0
