date,equity,bull_fraction,invested,day_ret,strategy_ret
2021-10-22,15440.10101109764,0.0,0.0,0.0073128379804705546,0.0
2021-10-25,15466.495164893136,1.0,0.95,0.001799426037741858,0.0017094547358547652
2021-10-26,15441.083677271341,1.0,0.95,-0.0017294761388119582,-0.0016430023318713602
2021-10-27,15441.083677271341,0.0,0.0,0.010231461365222527,0.0
2021-10-28,15487.803514999694,1.0,0.95,0.0031849303833867636,0.0030256838642174254
2021-10-29,15523.109651758787,1.0,0.95,0.0023995884534086186,0.0022796090307381878
2021-11-01,15583.549842707098,1.0,0.95,0.004098486389458289,0.003893562069985374
2021-11-02,15700.641342873816,1.0,0.95,0.007909251226188952,0.007513788664879504
2021-11-03,15700.641342873816,0.0,0.0,0.007954916838461657,0.0
2021-11-04,15700.641342873816,0.0,0.0,0.0024636456599090193,0.0
2021-11-05,15700.641342873816,0.0,0.0,-2.9602237696302303e-05,-0.0
2021-11-08,15700.641342873816,0.0,0.0,-0.004736740596036304,-0.0
2021-11-09,15700.641342873816,0.0,0.0,-0.010705642789018754,-0.0
2021-11-10,15700.641342873816,0.0,0.0,0.0013032143404961615,0.0
2021-11-11,15700.641342873816,0.0,0.0,0.00873712498203556,0.0
2021-11-12,15700.641342873816,0.0,0.0,0.00011421956724109172,0.0
2021-11-15,15700.641342873816,0.0,0.0,0.005223043654287362,0.0
2021-11-16,15682.054131293055,1.0,0.95,-0.0012461583859671999,-0.0011838504666688398
2021-11-17,15682.054131293055,0.0,0.0,0.0061824806682932556,0.0
2021-11-18,15699.294100866047,1.0,0.95,0.00115720403977011,0.0010993438377816043
2021-11-19,15604.845694097467,1.0,0.95,-0.00633272903272708,-0.006016092581090726
2021-11-22,15589.611172411769,1.0,0.95,-0.001027651213660441,-0.0009762686529774189
2021-11-23,15632.41352122921,1.0,0.95,0.002890072338564131,0.0027455687216359245
2021-11-24,15321.061894706801,1.0,0.95,-0.020965320152837363,-0.019917054145195495
2021-11-26,15554.537040640113,1.0,0.95,0.016040879750877934,0.015238835763334036
2021-11-29,15295.217608240915,1.0,0.95,-0.01754908055861164,-0.01667162653068106
2021-11-30,15099.501173805418,1.0,0.95,-0.01346939315821094,-0.012795923500300392
2021-12-01,15272.676039372238,1.0,0.95,0.012072540018198508,0.011468913017288583
2021-12-02,15096.008205073935,1.0,0.95,-0.012176395340752523,-0.011567575573714897
2021-12-03,15243.883375972257,1.0,0.95,0.010311207606358775,0.009795647226040836
2021-12-06,15243.883375972257,0.06802721088435375,0.0,0.02445651408331693,0.0
2021-12-07,15243.883375972257,0.14285714285714285,0.0,0.0033785489314452468,0.0
2021-12-08,15243.883375972257,0.0,0.0,-0.009936675654659811,-0.0
2021-12-09,15388.646076731515,1.0,0.95,0.009996257942585096,0.009496445045455841
2021-12-10,15226.46321199036,1.0,0.95,-0.011093815800262318,-0.010539125010249202
2021-12-13,15106.86421716052,1.0,0.95,-0.008268084125347897,-0.007854679919080503
2021-12-14,15372.28147811049,1.0,0.95,0.018494016127866254,0.01756931532147294
2021-12-15,15372.28147811049,0.0,0.0,-0.015577018205052397,-0.0
2021-12-16,15291.182533071396,0.5782312925170068,0.6294557823129251,-0.008381305079494616,-0.005275660945616576
2021-12-17,15191.614855727941,0.5850340136054422,0.634625850340136,-0.01026028785939186,-0.006511443907501132
2021-12-20,15474.591345636196,1.0,0.95,0.019607526402290354,0.018627150082175834
2021-12-21,15634.399707915698,1.0,0.95,0.010870679875026346,0.010327145881275028
2021-12-22,15634.399707915698,0.047619047619047616,0.0,0.006748928057481685,0.0
2021-12-23,15858.707030009278,1.0,0.95,0.015102144951895945,0.014347037704301147
2021-12-27,15823.39042653072,1.0,0.95,-0.0023441616023517574,-0.0022269535222341694
2021-12-28,15823.39042653072,0.0,0.0,0.0007077244621156886,0.0
2021-12-29,15823.39042653072,0.0,0.0,-0.002854029019074322,-0.0
2021-12-30,15823.39042653072,0.006802721088435374,0.0,-0.0040099347523853135,-0.0
2021-12-31,15933.496196966586,1.0,0.95,0.007324650903563335,0.006958418358385168
2022-01-03,15851.922421107553,1.0,0.95,-0.005389095489258722,-0.005119640714795786
2022-01-04,15493.364223086017,1.0,0.95,-0.023809710399879714,-0.022619224879885727
2022-01-05,15493.364223086017,0.0,0.0,-0.0008447888367070888,-0.0
2022-01-06,15493.364223086017,0.0,0.0,-0.006705249342936548,-0.0
2022-01-07,15493.364223086017,0.0,0.0,-0.0004833215004621749,-0.0
2022-01-10,15493.364223086017,0.0,0.0,0.011473802566591695,0.0
2022-01-11,15540.586918189234,1.0,0.95,0.003208347741195006,0.0030479303541352553
2022-01-12,15540.586918189234,0.4217687074829932,0.0,-0.01827364164407548,-0.0
2022-01-13,15580.955808900651,1.0,0.95,0.002734360638604683,0.002597642606674449
2022-01-14,15276.282642759888,1.0,0.95,-0.020583371127619675,-0.01955420257123869
2022-01-18,15122.10985614785,1.0,0.95,-0.01062347087948523,-0.010092297335510968
2022-01-19,14952.069195208973,1.0,0.95,-0.011836322517957142,-0.011244506392059284
2022-01-20,14627.214574792508,1.0,0.95,-0.022869893628294724,-0.02172639894687999
2022-01-21,14688.067631678128,1.0,0.95,0.0043792240160114735,0.004160262815210899
2022-01-24,14688.067631678128,0.0,0.0,-0.016597944971005685,-0.0
2022-01-25,14658.330660795544,1.0,0.95,-0.002131122717990275,-0.0020245665820907612
2022-01-26,14560.978997837867,1.0,0.95,-0.006990934852245401,-0.0066413881096331305
2022-01-27,14940.674394847667,1.0,0.95,0.027448660240003253,0.02607622722800309
2022-01-28,15275.61712416263,1.0,0.95,0.0235980843098579,0.022418180094365005
2022-01-31,15373.941630361891,1.0,0.95,0.006775469649997711,0.006436696167497825
2022-02-01,15506.53824420874,1.0,0.95,0.00907869864167008,0.008624763709586576
2022-02-02,15059.881246408908,1.0,0.95,-0.03032045279464759,-0.028804430154915208
2022-02-03,15172.43670666526,1.0,0.95,0.007867222185237655,0.007473861075975772
2022-02-04,15098.302437308434,1.0,0.95,-0.00514327886257746,-0.004886114919448587
2022-02-07,15098.302437308434,0.4557823129251701,0.0,0.009430664951608093,0.0
