,equity,benchmark_spy_norm,benchmark_qqq_norm,benchmark_iwm_norm
2024-06-20,10569.050335847636,1.0,1.0,1.0
2024-06-21,10569.050335847636,1.0,1.0,1.0
2024-06-24,10569.050335847636,1.0,1.0,1.0
2024-06-25,10569.050335847636,1.0,1.0,1.0
2024-06-26,10569.050335847636,1.0,1.0,1.0
2024-06-27,10569.050335847636,1.0,1.0,1.0
2024-06-28,10569.050335847636,1.0,1.0,1.0
2024-07-01,10569.050335847636,1.0,1.0,1.0
2024-07-02,10569.050335847636,1.0,1.0,1.0
2024-07-03,10569.050335847636,1.0,1.0,1.0
2024-07-05,10569.050335847636,1.0,1.0,1.0
2024-07-08,10569.050335847636,1.0,1.0,1.0
2024-07-09,10569.050335847636,1.0,1.0,1.0
2024-07-10,10569.050335847636,1.0,1.0,1.0
2024-07-11,10569.050335847636,1.0,1.0,1.0
2024-07-12,10569.050335847636,1.0,1.0,1.0
2024-07-15,10569.050335847636,1.0,1.0,1.0
2024-07-16,10569.050335847636,1.0,1.0,1.0
2024-07-17,10569.050335847636,1.0,1.0,1.0
2024-07-18,10569.050335847636,1.0,1.0,1.0
2024-07-19,10569.050335847636,1.0,1.0,1.0
2024-07-22,10569.050335847636,1.0,1.0,1.0
2024-07-23,10569.050335847636,1.0,1.0,1.0
2024-07-24,10569.050335847636,1.0,1.0,1.0
2024-07-25,10569.050335847636,1.0,1.0,1.0
2024-07-26,10569.050335847636,1.0,1.0,1.0
2024-07-29,10569.050335847636,1.0,1.0,1.0
2024-07-30,10569.050335847636,1.0,1.0,1.0
2024-07-31,10569.050335847636,1.0,1.0,1.0
2024-08-01,10569.050335847636,1.0,1.0,1.0
2024-08-02,10569.050335847636,1.0,1.0,1.0
2024-08-05,10569.050335847636,1.0,1.0,1.0
2024-08-06,10569.050335847636,1.0,1.0,1.0
2024-08-07,10569.050335847636,1.0,1.0,1.0
2024-08-08,10569.050335847636,1.0,1.0,1.0
2024-08-09,10569.050335847636,1.0,1.0,1.0
2024-08-12,10569.050335847636,1.0,1.0,1.0
2024-08-13,10569.050335847636,1.0,1.0,1.0
2024-08-14,10569.050335847636,1.0,1.0,1.0
2024-08-15,10569.050335847636,1.0,1.0,1.0
2024-08-16,10569.050335847636,1.0,1.0,1.0
2024-08-19,10569.050335847636,1.0,1.0,1.0
2024-08-20,10569.050335847636,1.0,1.0,1.0
2024-08-21,10569.050335847636,1.0,1.0,1.0
2024-08-22,10569.050335847636,1.0,1.0,1.0
2024-08-23,10569.050335847636,1.0,1.0,1.0
2024-08-26,10569.050335847636,1.0,1.0,1.0
2024-08-27,10569.050335847636,1.0,1.0,1.0
2024-08-28,10569.050335847636,1.0,1.0,1.0
2024-08-29,10569.050335847636,1.0,1.0,1.0
2024-08-30,10569.050335847636,1.0,1.0,1.0
2024-09-03,10569.050335847636,1.0,1.0,1.0
2024-09-04,10569.050335847636,1.0,1.0,1.0
2024-09-05,10569.050335847636,1.0,1.0,1.0
2024-09-06,10569.050335847636,1.0,1.0,1.0
2024-09-09,10569.050335847636,1.0,1.0,1.0
2024-09-10,10569.050335847636,1.0,1.0,1.0
2024-09-11,10569.050335847636,1.0,1.0,1.0
2024-09-12,10569.050335847636,1.0,1.0,1.0
2024-09-13,10569.050335847636,1.0,1.0,1.0
2024-09-16,10569.050335847636,1.0,1.0,1.0
2024-09-17,10569.050335847636,1.0,1.0,1.0
2024-09-18,10569.050335847636,1.0,1.0,1.0
2024-09-19,10569.050335847636,1.0,1.0,1.0
2024-09-20,10569.050335847636,1.0,1.0,1.0
2024-09-23,10569.050335847636,1.0,1.0,1.0
