horizon_days,score_source,shape,exposure,weighting,sector_mode,total_return_pct,cagr_pct,sharpe,max_drawdown_pct,alpha_vs_spy_pct,alpha_vs_qqq_pct,alpha_vs_blend_pct,nw_tstat_vs_blend,turnover_pct,estimated_cost_pct,avg_gross_exposure,feature_health_gate_pass,active_cluster_count,effective_cluster_count,max_cluster_weight,feature_health_gate_reasons,subperiod_stability_pass,paper_ready,robustness_score,drawdown_penalty,turnover_penalty,instability_penalty
5,factor_only,top5,long_only,equal,unconstrained,1558.35,18.79,0.84,-35.44,795.6,-66.46,450.78,0.698,164300.0,164.3,1.0,True,10,10,0.111111,,False,False,-7.7926,0.4176,7.965,0.25
5,factor_only,top10,long_only,equal,sector_neutral,630.27,12.96,0.762,-27.25,-132.48,-994.54,-477.3,-0.983,164300.0,164.3,1.0,True,10,10,0.111111,,False,False,-7.793,0.09,7.965,0.5
5,factor_only,top10,long_only,score,sector_neutral,630.27,12.96,0.762,-27.25,-132.48,-994.54,-477.3,-0.983,164300.0,164.3,1.0,True,10,10,0.111111,,False,False,-7.793,0.09,7.965,0.5
5,factor_walkforward,top_quintile,long_only,score,sector_neutral,403.72,10.42,0.684,-25.5,-359.03,-1221.1,-703.86,-1.987,164300.0,164.3,1.0,True,10,10,0.111111,,False,False,-7.801,0.02,7.965,0.5
5,factor_walkforward,top_bottom_quintile,long_only,score,sector_neutral,403.72,10.42,0.684,-25.5,-359.03,-1221.1,-703.86,-1.987,164300.0,164.3,1.0,True,10,10,0.111111,,False,False,-7.801,0.02,7.965,0.5
5,factor_only,top_decile,long_only,score,unconstrained,1619.43,19.05,0.843,-36.11,856.68,-5.38,511.86,0.75,164300.0,164.3,1.0,True,10,10,0.111111,,False,False,-7.8164,0.4444,7.965,0.25
5,factor_only,top_bottom_decile,long_only,score,unconstrained,1619.43,19.05,0.843,-36.11,856.68,-5.38,511.86,0.75,164300.0,164.3,1.0,True,10,10,0.111111,,False,False,-7.8164,0.4444,7.965,0.25
5,factor_plus_model,top_quintile,long_only,equal,unconstrained,915.28,15.27,0.803,-28.97,152.54,-709.53,-192.29,-0.156,164300.0,164.3,1.0,True,10,10,0.111111,,False,False,-7.8208,0.1588,7.965,0.5
5,factor_plus_model,top_bottom_quintile,long_only,equal,unconstrained,915.28,15.27,0.803,-28.97,152.54,-709.53,-192.29,-0.156,164300.0,164.3,1.0,True,10,10,0.111111,,False,False,-7.8208,0.1588,7.965,0.5
5,factor_only,top10,long_only,score,unconstrained,1218.72,17.13,0.817,-37.07,455.97,-406.09,111.14,0.361,164300.0,164.3,1.0,True,10,10,0.111111,,False,False,-7.8808,0.4828,7.965,0.25
5,factor_plus_model,top10,long_only,equal,sector_neutral,566.12,12.33,0.715,-28.32,-196.63,-1058.7,-541.46,-1.157,164300.0,164.3,1.0,True,10,10,0.111111,,False,False,-7.8828,0.1328,7.965,0.5
5,factor_plus_model,top10,long_only,score,sector_neutral,566.12,12.33,0.715,-28.32,-196.63,-1058.7,-541.46,-1.157,164300.0,164.3,1.0,True,10,10,0.111111,,False,False,-7.8828,0.1328,7.965,0.5
5,factor_only,top5,long_only,score,unconstrained,1821.73,19.87,0.829,-37.72,1058.98,196.92,714.16,0.899,164300.0,164.3,1.0,True,10,10,0.111111,,False,False,-7.8948,0.5088,7.965,0.25
5,factor_only,top_decile,long_only,equal,unconstrained,1240.38,17.25,0.821,-37.56,477.63,-384.43,132.8,0.377,164300.0,164.3,1.0,True,10,10,0.111111,,False,False,-7.8964,0.5024,7.965,0.25
5,factor_only,top_bottom_decile,long_only,equal,unconstrained,1240.38,17.25,0.821,-37.56,477.63,-384.43,132.8,0.377,164300.0,164.3,1.0,True,10,10,0.111111,,False,False,-7.8964,0.5024,7.965,0.25
5,factor_walkforward,top5,long_only,equal,sector_neutral,404.71,10.43,0.618,-26.85,-358.04,-1220.1,-702.86,-1.54,164300.0,164.3,1.0,True,10,10,0.111111,,False,False,-7.921,0.074,7.965,0.5
5,factor_walkforward,top5,long_only,score,sector_neutral,404.71,10.43,0.618,-26.85,-358.04,-1220.1,-702.86,-1.54,164300.0,164.3,1.0,True,10,10,0.111111,,False,False,-7.921,0.074,7.965,0.5
5,factor_walkforward,top10,long_only,equal,sector_neutral,408.65,10.49,0.673,-28.47,-354.1,-1216.16,-698.93,-1.932,164300.0,164.3,1.0,True,10,10,0.111111,,False,False,-7.9308,0.1388,7.965,0.5
5,factor_walkforward,top10,long_only,score,sector_neutral,408.65,10.49,0.673,-28.47,-354.1,-1216.16,-698.93,-1.932,164300.0,164.3,1.0,True,10,10,0.111111,,False,False,-7.9308,0.1388,7.965,0.5
5,factor_plus_model,top_decile,long_only,score,unconstrained,1879.3,20.09,0.867,-39.75,1116.55,254.48,771.72,0.991,164300.0,164.3,1.0,True,10,10,0.111111,,False,False,-7.938,0.59,7.965,0.25
5,factor_plus_model,top_bottom_decile,long_only,score,unconstrained,1879.3,20.09,0.867,-39.75,1116.55,254.48,771.72,0.991,164300.0,164.3,1.0,True,10,10,0.111111,,False,False,-7.938,0.59,7.965,0.25
5,factor_plus_model,top5,long_only,equal,unconstrained,1602.49,18.98,0.837,-40.02,839.74,-22.32,494.92,0.78,164300.0,164.3,1.0,True,10,10,0.111111,,False,False,-7.9788,0.6008,7.965,0.25
5,factor_plus_model,top_decile,long_only,equal,sector_neutral,350.29,9.67,0.579,-27.57,-412.46,-1274.52,-757.28,-1.887,164300.0,164.3,1.0,True,10,10,0.111111,,False,False,-7.9888,0.1028,7.965,0.5
5,factor_plus_model,top_decile,long_only,score,sector_neutral,350.29,9.67,0.579,-27.57,-412.46,-1274.52,-757.28,-1.887,164300.0,164.3,1.0,True,10,10,0.111111,,False,False,-7.9888,0.1028,7.965,0.5
5,factor_plus_model,top_bottom_decile,long_only,equal,sector_neutral,350.29,9.67,0.579,-27.57,-412.46,-1274.52,-757.28,-1.887,164300.0,164.3,1.0,True,10,10,0.111111,,False,False,-7.9888,0.1028,7.965,0.5
5,factor_plus_model,top_bottom_decile,long_only,score,sector_neutral,350.29,9.67,0.579,-27.57,-412.46,-1274.52,-757.28,-1.887,164300.0,164.3,1.0,True,10,10,0.111111,,False,False,-7.9888,0.1028,7.965,0.5
5,factor_walkforward,top_quintile,long_only,equal,unconstrained,578.23,12.45,0.743,-32.37,-184.52,-1046.58,-529.34,-1.11,164300.0,164.3,1.0,True,10,10,0.111111,,False,False,-8.0168,0.2948,7.965,0.5
5,factor_walkforward,top_bottom_quintile,long_only,equal,unconstrained,578.23,12.45,0.743,-32.37,-184.52,-1046.58,-529.34,-1.11,164300.0,164.3,1.0,True,10,10,0.111111,,False,False,-8.0168,0.2948,7.965,0.5
5,factor_plus_model,top5,long_only,score,unconstrained,1705.65,19.41,0.807,-40.33,942.91,80.84,598.08,0.86,164300.0,164.3,1.0,True,10,10,0.111111,,False,False,-8.0212,0.6132,7.965,0.25
5,factor_only,top_decile,long_only,equal,sector_neutral,359.32,9.8,0.587,-30.14,-403.43,-1265.49,-748.25,-1.802,164300.0,164.3,1.0,True,10,10,0.111111,,False,False,-8.0836,0.2056,7.965,0.5
5,factor_only,top_decile,long_only,score,sector_neutral,359.32,9.8,0.587,-30.14,-403.43,-1265.49,-748.25,-1.802,164300.0,164.3,1.0,True,10,10,0.111111,,False,False,-8.0836,0.2056,7.965,0.5
5,factor_only,top_bottom_decile,long_only,equal,sector_neutral,359.32,9.8,0.587,-30.14,-403.43,-1265.49,-748.25,-1.802,164300.0,164.3,1.0,True,10,10,0.111111,,False,False,-8.0836,0.2056,7.965,0.5
5,factor_only,top_bottom_decile,long_only,score,sector_neutral,359.32,9.8,0.587,-30.14,-403.43,-1265.49,-748.25,-1.802,164300.0,164.3,1.0,True,10,10,0.111111,,False,False,-8.0836,0.2056,7.965,0.5
5,factor_only,top_quintile,long_only,equal,unconstrained,662.28,13.26,0.726,-33.97,-100.47,-962.53,-445.29,-0.69,164300.0,164.3,1.0,True,10,10,0.111111,,False,False,-8.0978,0.3588,7.965,0.5
5,factor_only,top_bottom_quintile,long_only,equal,unconstrained,662.28,13.26,0.726,-33.97,-100.47,-962.53,-445.29,-0.69,164300.0,164.3,1.0,True,10,10,0.111111,,False,False,-8.0978,0.3588,7.965,0.5
5,factor_only,top_quintile,long_only,score,unconstrained,1018.71,15.96,0.798,-36.14,255.96,-606.1,-88.86,0.079,164300.0,164.3,1.0,True,10,10,0.111111,,False,False,-8.1126,0.4456,7.965,0.5
