core_preset,tqqq_weight,overlay_gross,score_source,shape,max_per_sector,earnings_blackout_days,holding_days,drawdown_circuit_breaker,cost_stress,total_return_pct,cagr_pct,sharpe,max_drawdown_pct,holdout_return_pct,holdout_alpha_vs_qqq_pct,holdout_alpha_vs_blend_pct,turnover_pct,alpha_vs_spy_pct,alpha_vs_qqq_pct,alpha_vs_blend_pct,tqqq_stress_row_gate_pass,stress_cost_levels,stress_has_required_costs,stress_all_gates_pass,stress_min_alpha_vs_spy_pct,stress_min_alpha_vs_qqq_pct,stress_min_alpha_vs_blend_pct,stress_min_holdout_alpha_vs_qqq_pct,stress_min_holdout_alpha_vs_blend_pct,robust_cost_stress_pass,robustness_score,drawdown_penalty,turnover_penalty,instability_penalty,paper_ready
tqqq_enhanced,0.0,0.25,regime_adaptive,top3,1,5,20,0.0,5.0,1526.14,18.6,1.195,-20.33,120.19,-16.13,9.15,3244.94,790.67,9.35,478.14,True,"2.0,3.0,5.0",True,True,790.67,9.35,478.14,-16.13,9.15,False,1.195,0.0,0.0,0.0,False
tqqq_enhanced,0.0,0.25,regime_adaptive,top3,2,5,10,0.0,2.0,2143.38,21.01,1.308,-24.19,177.28,25.17,55.29,4543.34,1380.63,518.57,1035.8,True,"2.0,3.0,5.0",True,True,1095.98,233.92,751.16,18.39,48.51,True,1.308,0.0,0.0,0.0,True
tqqq_enhanced,0.0,0.25,regime_adaptive,top3,2,5,10,0.0,3.0,2044.2,20.68,1.29,-24.23,175.0,22.89,53.01,4543.34,1281.45,419.39,936.63,True,"2.0,3.0,5.0",True,True,1095.98,233.92,751.16,18.39,48.51,True,1.29,0.0,0.0,0.0,True
tqqq_enhanced,0.0,0.25,regime_adaptive,top3,2,5,10,0.0,5.0,1858.73,20.01,1.254,-24.33,170.5,18.39,48.51,4543.34,1095.98,233.92,751.16,True,"2.0,3.0,5.0",True,True,1095.98,233.92,751.16,18.39,48.51,True,1.254,0.0,0.0,0.0,True
tqqq_enhanced,0.0,0.25,regime_adaptive,top3,2,5,20,0.0,2.0,2080.7,20.75,1.277,-20.97,171.26,34.93,60.21,3263.47,1345.22,563.9,1032.69,True,"2.0,3.0,5.0",True,True,1144.7,363.38,832.17,30.11,55.39,True,1.277,0.0,0.0,0.0,True
tqqq_enhanced,0.0,0.25,regime_adaptive,top3,2,5,20,0.0,3.0,2011.72,20.51,1.264,-21.08,169.64,33.31,58.6,3263.47,1276.25,494.92,963.72,True,"2.0,3.0,5.0",True,True,1144.7,363.38,832.17,30.11,55.39,True,1.264,0.0,0.0,0.0,True
tqqq_enhanced,0.0,0.25,regime_adaptive,top3,2,5,20,0.0,5.0,1880.17,20.04,1.239,-21.29,166.43,30.11,55.39,3263.47,1144.7,363.38,832.17,True,"2.0,3.0,5.0",True,True,1144.7,363.38,832.17,30.11,55.39,True,1.239,0.0,0.0,0.0,True
tqqq_enhanced,0.0,0.25,regime_adaptive,top5,1,5,10,0.0,2.0,1447.9,18.29,1.201,-25.58,119.45,-32.66,-2.54,5103.65,685.15,-176.91,340.33,True,"2.0,3.0,5.0",True,True,466.32,-395.75,121.49,-38.61,-8.49,False,1.1726,0.0232,0.0052,0.0,False
tqqq_enhanced,0.0,0.25,regime_adaptive,top5,1,5,10,0.0,3.0,1371.24,17.92,1.18,-25.63,117.45,-34.66,-4.54,5103.65,608.49,-253.57,263.67,True,"2.0,3.0,5.0",True,True,466.32,-395.75,121.49,-38.61,-8.49,False,1.1496,0.0252,0.0052,0.0,False
tqqq_enhanced,0.0,0.25,regime_adaptive,top5,1,5,10,0.0,5.0,1229.06,17.19,1.138,-25.73,113.5,-38.61,-8.49,5103.65,466.32,-395.75,121.49,True,"2.0,3.0,5.0",True,True,466.32,-395.75,121.49,-38.61,-8.49,False,1.1036,0.0292,0.0052,0.0,False
