,equity,benchmark_spy_norm
2020-07-24,10434.803548381735,1.0
2020-07-27,10434.803548381735,1.0
2020-07-28,10434.803548381735,1.0
2020-07-29,10434.803548381735,1.0
2020-07-30,10434.803548381735,1.0
2020-07-31,10434.803548381735,1.0
2020-08-03,10434.803548381735,1.0
2020-08-04,10434.803548381735,1.0
2020-08-05,10434.803548381735,1.0
2020-08-06,10434.803548381735,1.0
2020-08-07,10434.803548381735,1.0
2020-08-10,10434.803548381735,1.0
2020-08-11,10434.803548381735,1.0
2020-08-12,10434.803548381735,1.0
2020-08-13,10434.803548381735,1.0
2020-08-14,10434.803548381735,1.0
2020-08-17,10434.803548381735,1.0
2020-08-18,10434.803548381735,1.0
2020-08-19,10434.803548381735,1.0
2020-08-20,10434.803548381735,1.0
2020-08-21,10434.803548381735,1.0
2020-08-24,10434.803548381735,1.0
2020-08-25,10434.803548381735,1.0
2020-08-26,10434.803548381735,1.0
2020-08-27,10434.803548381735,1.0
2020-08-28,10434.803548381735,1.0
2020-08-31,10434.803548381735,1.0
2020-09-01,10434.803548381735,1.0
2020-09-02,10434.803548381735,1.0
2020-09-03,10434.803548381735,1.0
2020-09-04,10434.803548381735,1.0
2020-09-08,10434.803548381735,1.0
2020-09-09,10434.803548381735,1.0
2020-09-10,10434.803548381735,1.0
2020-09-11,10434.803548381735,1.0
2020-09-14,10434.803548381735,1.0
2020-09-15,10434.803548381735,1.0
2020-09-16,10434.803548381735,1.0
2020-09-17,10434.803548381735,1.0
2020-09-18,10434.803548381735,1.0
2020-09-21,10434.803548381735,1.0
2020-09-22,10434.803548381735,1.0
2020-09-23,10434.803548381735,1.0
2020-09-24,10434.803548381735,1.0
2020-09-25,10434.803548381735,1.0
2020-09-28,10434.803548381735,1.0
2020-09-29,10434.803548381735,1.0
2020-09-30,10434.803548381735,1.0
2020-10-01,10486.805871588218,1.0
2020-10-02,10434.534550493672,1.0
2020-10-05,10482.784967209933,1.0
2020-10-06,10436.475597846238,1.0
2020-10-07,10463.096438514813,1.0
2020-10-08,10461.571384358547,1.0
2020-10-09,10446.728424228388,1.0
2020-10-12,10647.11579129042,1.0
2020-10-13,10558.114647574173,1.0
2020-10-14,10560.541781941884,1.0
2020-10-15,10547.596712081131,1.0
2020-10-16,10499.83275738438,1.0
2020-10-19,10459.993502590334,1.0
2020-10-20,10480.04407413474,1.0
2020-10-21,10471.656954742723,1.0
2020-10-22,10448.525356243441,1.0
2020-10-23,10448.525356243441,1.0
2020-10-26,10448.525356243441,1.0
2020-10-27,10448.525356243441,1.0
2020-10-28,10448.525356243441,1.0
2020-10-29,10448.525356243441,1.0
2020-10-30,10448.525356243441,1.0
2020-11-02,10448.525356243441,1.0
2020-11-03,10448.525356243441,1.0
2020-11-04,10448.525356243441,1.0
2020-11-05,10448.525356243441,1.0
2020-11-06,10448.525356243441,1.0
2020-11-09,10448.525356243441,1.0
2020-11-10,10448.525356243441,1.0
2020-11-11,10448.525356243441,1.0
2020-11-12,10448.525356243441,1.0
2020-11-13,10448.525356243441,1.0
2020-11-16,10448.525356243441,1.0
2020-11-17,10448.525356243441,1.0
2020-11-18,10448.525356243441,1.0
2020-11-19,10448.525356243441,1.0
2020-11-20,10448.525356243441,1.0
2020-11-23,10448.525356243441,1.0
2020-11-24,10448.525356243441,1.0
2020-11-25,10448.525356243441,1.0
2020-11-27,10448.525356243441,1.0
2020-11-30,10448.525356243441,1.0
2020-12-01,10448.525356243441,1.0
2020-12-02,10448.525356243441,1.0
2020-12-03,10448.525356243441,1.0
2020-12-04,10448.525356243441,1.0
2020-12-07,10448.525356243441,1.0
2020-12-08,10448.525356243441,1.0
2020-12-09,10448.525356243441,1.0
2020-12-10,10448.525356243441,1.0
2020-12-11,10448.525356243441,1.0
2020-12-14,10448.525356243441,1.0
2020-12-15,10448.525356243441,1.0
2020-12-16,10448.525356243441,1.0
2020-12-17,10448.525356243441,1.0
2020-12-18,10448.525356243441,1.0
2020-12-21,10448.525356243441,1.0
2020-12-22,10448.525356243441,1.0
2020-12-23,10448.525356243441,1.0
2020-12-24,10448.525356243441,1.0
2020-12-28,10448.525356243441,1.0
2020-12-29,10448.525356243441,1.0
2020-12-30,10448.525356243441,1.0
2020-12-31,10448.525356243441,1.0
2021-01-04,10448.525356243441,1.0
2021-01-05,10448.525356243441,1.0
2021-01-06,10448.525356243441,1.0
2021-01-07,10448.525356243441,1.0
2021-01-08,10448.525356243441,1.0
2021-01-11,10448.525356243441,1.0
2021-01-12,10448.525356243441,1.0
2021-01-13,10448.525356243441,1.0
