date,equity
2012-08-22,8601.593669788681
2012-08-29,8594.021365844335
2012-09-05,8586.673360430857
2012-09-13,8471.195979530157
2012-09-20,8368.020005147959
2012-09-27,8402.441601852343
2012-10-04,8405.131614063634
2012-10-11,8392.700800398788
2012-10-18,8372.525748564318
2012-10-25,8305.600495830175
2012-11-01,8306.007809428907
2012-11-12,8261.09009493155
2012-11-19,8240.96129677629
2012-11-26,8160.776289949973
2012-12-04,8260.976349323877
2012-12-11,8231.779791083576
2012-12-18,8224.945941110398
2012-12-25,8203.304577698767
2013-01-02,8212.082934176029
2013-01-10,8155.5219665467575
2013-01-17,8184.999533489208
2013-01-24,8120.500149187092
2013-02-01,8139.025234807185
2013-02-08,8109.099952119071
2013-02-15,8174.4520271615875
2013-02-22,8138.72202219868
2013-03-04,8130.029994394046
2013-03-11,8286.975370703334
2013-03-18,8260.942874823957
2013-03-25,8276.047614191035
2013-04-01,8288.917579670926
2013-04-09,8357.650195557877
2013-04-16,8381.086759045927
2013-04-23,8344.094174137586
2013-04-30,8326.893669187213
2013-05-07,8398.895911709076
2013-05-14,8448.488805831686
2013-05-21,8456.446674388959
2013-05-28,8438.795426511773
2013-06-05,8451.306664594986
2013-06-12,8441.840816692986
2013-06-19,8432.82964202085
2013-06-26,8391.656264985802
2013-07-03,8389.493123180693
2013-07-10,8427.301517575883
2013-07-18,8478.183251246825
2013-07-25,8468.796790628478
2013-08-01,8405.30131144478
2013-08-08,8375.107781875062
2013-08-15,8460.07487258161
2013-08-22,8465.935418910623
2013-08-29,8409.795435441943
2013-09-05,8427.703894076616
2013-09-13,8446.054462580898
2013-09-20,8448.233880211004
2013-09-27,8484.014800604493
2013-10-04,8494.373846033737
2013-10-11,8508.507603925278
2013-10-18,8500.406541582595
2013-10-25,8469.090493401696
2013-11-01,8508.81468363087
2013-11-08,8428.052896809593
2013-11-15,8400.120450705283
2013-11-22,8362.320900551867
2013-11-29,8389.054200004974
2013-12-09,8338.276114302336
2013-12-16,8374.221198406565
2013-12-23,8368.168877209893
2013-12-30,8352.690690977539
2014-01-07,8362.311318740412
2014-01-15,8382.383874769534
2014-01-22,8370.868483444801
2014-01-30,8415.057035842543
2014-02-06,8467.846170683137
2014-02-13,8461.06500913018
2014-02-20,8439.788836279042
2014-02-28,8481.729693142863
2014-03-07,8422.910681183557
2014-03-14,8402.613156873162
2014-03-21,8394.728283386225
2014-03-28,8313.233817109205
2014-04-04,8280.057110482445
2014-04-11,8232.270164934813
2014-04-18,8304.108863790314
2014-04-28,8191.699700472099
2014-05-05,8214.62390078305
2014-05-12,8215.70343039545
2014-05-19,8211.189943459156
2014-05-26,8202.467703160111
2014-06-03,8199.718059432917
2014-06-10,8230.112771800346
2014-06-17,8216.466352816647
2014-06-24,8184.244338055716
2014-07-01,8181.185206557651
2014-07-08,8139.468983523575
2014-07-16,8161.935308354798
2014-07-23,8158.919884452295
2014-07-30,8164.040343143851
2014-08-06,8098.76842765528
2014-08-13,8091.242641515983
2014-08-20,8095.259329071195
2014-08-27,8065.567716256819
2014-09-03,8033.28383525106
2014-09-11,8004.459225037515
2014-09-18,7988.828448539884
2014-09-25,7919.001788166754
2014-10-02,7872.303866302318
2014-10-09,7828.060902650048
2014-10-16,7835.359677684816
2014-10-23,7879.422104086199
2014-10-30,7819.420568623829
2014-11-06,7878.439117916626
2014-11-13,7837.836031187608
2014-11-20,7827.101881060648
2014-11-27,7832.025135351973
2014-12-05,7970.819797529515
2014-12-12,7865.640422654984
2014-12-19,7893.676329072471
2014-12-26,7874.617574626419
2015-01-05,7856.965743753327
2015-01-13,7883.678608989545
2015-01-20,7798.624879121893
2015-01-28,7788.616118170792
2015-02-04,7872.921556088834
2015-02-11,7869.168429349456
2015-02-18,7912.089668344357
2015-02-26,7969.412680256805
2015-03-05,7949.352165055
2015-03-12,7970.254861898194
2015-03-19,7977.283218785594
2015-03-26,8040.614268577423
2015-04-02,8066.309424603965
2015-04-09,8045.469009696817
2015-04-17,8011.679831443453
2015-04-24,7931.681090592646
2015-05-01,7956.926197574762
2015-05-08,7936.3611837049
2015-05-15,7937.424494457117
2015-05-22,7943.485411126149
2015-05-29,7926.319120179542
2015-06-08,7947.65767261221
2015-06-15,7914.491942683006
2015-06-22,7920.08268943865
2015-06-29,7864.847815040896
2015-07-06,7869.016357436593
2015-07-14,7855.799672902073
2015-07-21,7737.289322600272
2015-07-28,7772.107009750809
2015-08-04,7728.52172815315
