ticker,confidence_threshold,min_expected_return,allowed_qualities,exit_horizon_days,stop_loss_pct,take_profit_pct,max_position_pct,allow_shorts,avoid_bear_regime,optimized_at,optimization_score,score,trades,win_rate,total_pnl,avg_pnl,profit_factor,sharpe,max_drawdown_pct,approved_candidate
AAPL,62.5,0.75,"['MEDIUM', 'HIGH']",10,0.04,0.12,0.15,False,False,,,232.9236,161,0.5963,2828.19,17.5664,1.7072,1.1583,-16.49,True
AAPL,52.0,0.5,"['MEDIUM', 'HIGH']",5,0.04,0.12,0.15,False,False,,,231.5061,450,0.5556,3559.36,7.9097,1.354,0.8761,-16.36,True
AAPL,52.0,0.5,['MEDIUM'],10,0.04,0.06,0.15,False,False,,,231.4164,178,0.6348,2664.75,14.9705,1.6876,1.1537,-11.68,True
AAPL,58.0,0.75,['MEDIUM'],10,0.08,0.12,0.15,False,False,,,230.9493,93,0.6774,1853.81,19.9334,2.0677,1.4255,-9.64,True
AAPL,62.5,0.75,"['MEDIUM', 'HIGH']",5,0.04,0.06,0.15,False,False,,,230.942,161,0.6335,1796.4,11.1578,1.6516,1.5249,-14.33,True
AAPL,62.5,0.75,['MEDIUM'],10,0.08,0.06,0.15,False,False,,,225.2213,33,0.7879,697.33,21.1312,2.3399,1.7374,-3.87,True
AAPL,52.0,0.5,['MEDIUM'],10,0.04,0.12,0.15,False,False,,,224.724,178,0.6236,2705.23,15.1979,1.6898,1.0857,-12.97,True
AAPL,52.0,0.0,"['MEDIUM', 'HIGH']",5,0.04,0.12,0.15,False,False,,,223.4224,625,0.544,3859.33,6.1749,1.2696,0.6903,-17.21,True
AAPL,58.0,0.75,['MEDIUM'],10,0.08,0.06,0.15,False,False,,,222.7062,93,0.6774,1690.01,18.1722,1.9669,1.4002,-8.29,True
AAPL,62.5,0.75,['MEDIUM'],10,0.08,0.12,0.05,False,False,,,222.2141,33,0.7879,246.01,7.4548,2.4944,1.8545,-1.3,True
AAPL,62.5,0.5,"['MEDIUM', 'HIGH']",10,0.04,0.12,0.15,False,False,,,221.1996,173,0.5954,2810.01,16.2428,1.643,1.0768,-19.0,True
AAPL,52.0,0.5,['MEDIUM'],10,0.08,0.06,0.05,False,False,,,220.6805,178,0.6966,1147.03,6.444,2.0874,1.5336,-2.94,True
AAPL,62.5,0.75,['MEDIUM'],10,0.08,0.06,0.05,False,False,,,214.3499,33,0.7879,229.16,6.9442,2.3943,1.7876,-1.3,True
AAPL,62.5,0.0,['MEDIUM'],5,0.08,0.06,0.15,False,False,,,214.044,39,0.7179,451.16,11.5682,1.9042,1.7531,-3.19,True
AAPL,62.5,0.5,['MEDIUM'],5,0.08,0.06,0.15,False,False,,,214.044,39,0.7179,451.16,11.5682,1.9042,1.7531,-3.19,True
AAPL,62.5,0.0,"['MEDIUM', 'HIGH']",10,0.04,0.12,0.15,False,False,,,213.8709,174,0.592,2728.25,15.6796,1.6174,1.0434,-19.52,True
AAPL,58.0,0.5,['MEDIUM'],10,0.08,0.12,0.05,False,False,,,213.243,112,0.6964,819.0,7.3125,2.2335,1.588,-3.41,True
AAPL,58.0,0.0,['MEDIUM'],10,0.08,0.12,0.05,False,False,,,213.243,112,0.6964,819.0,7.3125,2.2335,1.588,-3.41,True
AAPL,58.0,0.5,"['MEDIUM', 'HIGH']",10,0.04,0.12,0.15,False,False,,,212.2949,249,0.5663,3252.11,13.0607,1.4678,0.8255,-19.0,True
AAPL,62.5,0.5,['MEDIUM'],5,0.08,0.12,0.15,False,False,,,212.2036,39,0.7179,454.89,11.6638,1.9108,1.7328,-3.19,True
AAPL,62.5,0.0,['MEDIUM'],5,0.08,0.12,0.15,False,False,,,212.2036,39,0.7179,454.89,11.6638,1.9108,1.7328,-3.19,True
AAPL,52.0,0.5,['MEDIUM'],10,0.08,0.12,0.05,False,False,,,212.1195,178,0.6854,1188.18,6.6752,2.0809,1.4389,-3.41,True
AAPL,52.0,0.75,['MEDIUM'],10,0.08,0.12,0.05,False,False,,,211.4852,97,0.6804,710.45,7.3242,2.2827,1.6135,-3.3,True
AAPL,52.0,0.75,"['MEDIUM', 'HIGH']",10,0.04,0.12,0.15,False,False,,,210.5233,236,0.5636,3108.75,13.1727,1.4796,0.8424,-16.73,True
AAPL,62.5,0.0,['MEDIUM'],5,0.08,0.06,0.05,False,False,,,209.2918,39,0.7179,149.79,3.8408,1.935,1.8034,-1.07,True
AAPL,62.5,0.5,['MEDIUM'],5,0.08,0.06,0.05,False,False,,,209.2918,39,0.7179,149.79,3.8408,1.935,1.8034,-1.07,True
AAPL,62.5,0.5,"['MEDIUM', 'HIGH']",5,0.04,0.06,0.15,False,False,,,208.6275,173,0.6185,1704.43,9.8522,1.5669,1.3581,-15.56,True
AAPL,62.5,0.5,['MEDIUM'],5,0.08,0.12,0.05,False,False,,,207.0435,39,0.7179,151.02,3.8723,1.9423,1.78,-1.07,True
AAPL,62.5,0.0,['MEDIUM'],5,0.08,0.12,0.05,False,False,,,207.0435,39,0.7179,151.02,3.8723,1.9423,1.78,-1.07,True
AAPL,58.0,0.0,"['MEDIUM', 'HIGH']",10,0.04,0.12,0.15,False,False,,,206.1876,250,0.564,3167.49,12.67,1.4534,0.8046,-19.52,True
AAPL,52.0,0.5,"['MEDIUM', 'HIGH']",10,0.04,0.06,0.15,False,False,,,205.5961,450,0.56,3972.19,8.8271,1.2889,0.5761,-28.54,False
AAPL,52.0,0.75,['MEDIUM'],10,0.08,0.06,0.05,False,False,,,204.5697,97,0.6804,631.08,6.506,2.1367,1.5786,-2.82,True
AAPL,62.5,0.0,"['MEDIUM', 'HIGH']",5,0.04,0.06,0.15,False,False,,,203.8228,174,0.6149,1670.4,9.6,1.5512,1.3276,-15.81,True
AAPL,52.0,0.5,"['MEDIUM', 'HIGH']",5,0.04,0.06,0.15,False,False,,,203.6584,450,0.5578,3064.83,6.8107,1.3148,0.8199,-18.65,True
AAPL,58.0,0.0,['MEDIUM'],10,0.08,0.06,0.05,False,False,,,201.7522,112,0.6964,711.36,6.3514,2.0724,1.5194,-2.93,True
AAPL,58.0,0.5,['MEDIUM'],10,0.08,0.06,0.05,False,False,,,201.7522,112,0.6964,711.36,6.3514,2.0724,1.5194,-2.93,True
AAPL,62.5,0.75,['MEDIUM'],5,0.08,0.06,0.15,False,False,,,200.7172,33,0.7273,382.33,11.5858,1.8127,1.65,-3.19,True
AAPL,62.5,0.75,['MEDIUM'],5,0.08,0.12,0.15,False,False,,,199.0308,33,0.7273,385.99,11.6967,1.8196,1.6314,-3.19,True
AAPL,62.5,0.5,"['MEDIUM', 'HIGH']",5,0.04,0.12,0.15,False,False,,,198.367,173,0.6127,1639.85,9.4789,1.5443,1.2915,-16.36,True
AAPL,52.0,0.0,['MEDIUM'],10,0.04,0.06,0.05,False,False,,,198.0475,188,0.6543,1037.92,5.5209,1.8641,1.3816,-4.04,True
AAPL,62.5,0.75,['MEDIUM'],5,0.08,0.06,0.05,False,False,,,197.3861,33,0.7273,127.25,3.8561,1.8399,1.6962,-1.07,True
AAPL,52.0,0.0,"['MEDIUM', 'HIGH']",5,0.08,0.12,0.15,False,False,,,197.3804,625,0.5584,3507.31,5.6117,1.2376,0.5867,-18.94,True
AAPL,52.0,0.75,"['MEDIUM', 'HIGH']",5,0.04,0.06,0.15,False,False,,,195.4206,236,0.5975,2017.35,8.5481,1.4363,1.0993,-14.33,True
AAPL,62.5,0.75,['MEDIUM'],5,0.08,0.12,0.05,False,False,,,195.3827,33,0.7273,128.48,3.8933,1.8478,1.6753,-1.07,True
AAPL,52.0,0.75,"['MEDIUM', 'HIGH']",5,0.04,0.12,0.15,False,False,,,195.3658,236,0.5975,2037.37,8.6329,1.4384,1.0906,-14.33,True
AAPL,52.0,0.0,['MEDIUM'],5,0.04,0.06,0.15,False,False,,,195.237,188,0.5904,1619.2,8.6128,1.516,1.2077,-9.69,True
AAPL,52.0,0.75,"['MEDIUM', 'HIGH']",10,0.08,0.12,0.15,False,False,,,194.6014,236,0.6314,3059.58,12.9643,1.4583,0.771,-24.8,True
AAPL,62.5,0.0,"['MEDIUM', 'HIGH']",5,0.04,0.12,0.15,False,False,,,193.6359,174,0.6092,1606.02,9.23,1.5289,1.2617,-16.6,True
AAPL,62.5,0.75,"['MEDIUM', 'HIGH']",5,0.04,0.12,0.05,False,False,,,191.7198,161,0.6335,587.81,3.651,1.668,1.5221,-5.01,True
AAPL,62.5,0.75,"['MEDIUM', 'HIGH']",5,0.04,0.06,0.05,False,False,,,190.9431,161,0.6335,573.88,3.5645,1.6532,1.5206,-5.01,True
AAPL,52.0,0.0,"['MEDIUM', 'HIGH']",10,0.08,0.06,0.15,False,False,,,190.4412,625,0.6016,4382.63,7.0122,1.2013,0.3897,-41.87,False
AAPL,52.0,0.0,['MEDIUM'],10,0.04,0.12,0.05,False,False,,,188.9245,188,0.6436,1059.26,5.6344,1.8561,1.2891,-4.51,True
AAPL,58.0,0.75,"['MEDIUM', 'HIGH']",10,0.04,0.12,0.15,False,False,,,187.5118,224,0.558,2704.59,12.0741,1.4339,0.7783,-16.83,True
AAPL,52.0,0.0,"['MEDIUM', 'HIGH']",5,0.04,0.06,0.15,False,False,,,187.3002,625,0.5456,3206.04,5.1297,1.2318,0.6229,-20.3,True
AAPL,58.0,0.75,['MEDIUM'],10,0.08,0.12,0.05,False,False,,,187.2349,93,0.6774,589.96,6.3437,2.0657,1.4306,-3.3,True
AAPL,58.0,0.75,"['MEDIUM', 'HIGH']",5,0.04,0.06,0.15,False,False,,,185.8744,224,0.6071,1857.83,8.2939,1.42,1.0665,-14.33,True
AAPL,52.0,0.0,['MEDIUM'],5,0.04,0.12,0.15,False,False,,,185.6505,188,0.5904,1553.21,8.2618,1.4937,1.1348,-9.24,True
AAPL,58.0,0.75,"['MEDIUM', 'HIGH']",5,0.04,0.12,0.15,False,False,,,184.6116,224,0.6071,1861.82,8.3117,1.4187,1.0524,-14.33,True
AAPL,62.5,0.75,"['MEDIUM', 'HIGH']",5,0.08,0.12,0.15,False,False,,,184.4411,161,0.6398,1559.16,9.6842,1.506,1.1603,-14.28,True
AAPL,58.0,0.75,['MEDIUM'],10,0.08,0.06,0.05,False,False,,,183.3305,93,0.6774,540.3,5.8097,1.9738,1.4113,-2.82,True
AAPL,52.0,0.5,['MEDIUM'],5,0.04,0.06,0.15,False,False,,,183.0973,178,0.5899,1472.55,8.2728,1.4791,1.147,-9.69,True
AAPL,62.5,0.75,"['MEDIUM', 'HIGH']",10,0.04,0.06,0.15,False,False,,,183.0813,161,0.6025,2044.92,12.7014,1.5407,0.9802,-16.49,True
AAPL,62.5,0.75,"['MEDIUM', 'HIGH']",5,0.08,0.06,0.15,False,False,,,181.5405,161,0.6398,1514.18,9.4048,1.4937,1.1499,-14.28,True
AAPL,62.5,0.5,"['MEDIUM', 'HIGH']",10,0.04,0.06,0.15,False,False,,,179.6498,173,0.6012,2123.06,12.272,1.5093,0.9359,-18.43,True
AAPL,52.0,0.5,"['MEDIUM', 'HIGH']",5,0.08,0.12,0.15,False,False,,,179.037,450,0.5733,2835.46,6.301,1.2667,0.6545,-17.63,True
AAPL,58.0,0.5,"['MEDIUM', 'HIGH']",10,0.08,0.12,0.15,False,False,,,175.6863,249,0.6265,2882.03,11.5744,1.3889,0.6773,-26.8,False
AAPL,58.0,0.0,"['MEDIUM', 'HIGH']",10,0.08,0.12,0.15,False,False,,,175.5968,250,0.628,2882.3,11.5292,1.3889,0.676,-26.8,False
AAPL,52.0,0.5,['MEDIUM'],5,0.04,0.12,0.15,False,False,,,173.4691,178,0.5899,1407.26,7.906,1.4566,1.0734,-9.24,True
AAPL,62.5,0.0,"['MEDIUM', 'HIGH']",10,0.04,0.06,0.15,False,False,,,172.1781,174,0.5977,2045.65,11.7566,1.485,0.8992,-18.95,True
AAPL,62.5,0.5,"['MEDIUM', 'HIGH']",5,0.04,0.06,0.05,False,False,,,172.0707,173,0.6185,546.8,3.1607,1.5679,1.3545,-5.46,True
AAPL,58.0,0.5,"['MEDIUM', 'HIGH']",5,0.04,0.06,0.15,False,False,,,168.3717,249,0.5944,1782.71,7.1595,1.3643,0.9392,-15.56,True
AAPL,62.5,0.0,"['MEDIUM', 'HIGH']",5,0.04,0.06,0.05,False,False,,,168.3648,174,0.6149,536.58,3.0838,1.552,1.324,-5.56,True
AAPL,52.0,0.5,['MEDIUM'],10,0.04,0.06,0.05,False,False,,,168.26,178,0.6348,830.48,4.6656,1.7047,1.1786,-4.04,True
AAPL,52.0,0.0,"['MEDIUM', 'HIGH']",10,0.04,0.12,0.05,False,False,,,166.9466,625,0.5424,2254.85,3.6078,1.3856,0.6936,-10.39,True
AAPL,62.5,0.75,"['MEDIUM', 'HIGH']",10,0.04,0.12,0.05,False,False,,,166.9346,161,0.5963,878.29,5.4552,1.7299,1.1704,-5.81,True
AAPL,52.0,0.75,"['MEDIUM', 'HIGH']",5,0.08,0.12,0.15,False,False,,,165.0449,236,0.6102,1790.84,7.5883,1.3619,0.8867,-14.28,True
AAPL,58.0,0.0,"['MEDIUM', 'HIGH']",5,0.04,0.06,0.15,False,False,,,164.8047,250,0.592,1748.47,6.9939,1.356,0.9205,-15.81,True
AAPL,52.0,0.75,"['MEDIUM', 'HIGH']",5,0.08,0.06,0.15,False,False,,,164.6719,236,0.6102,1771.19,7.505,1.3597,0.891,-14.28,True
AAPL,62.5,0.5,"['MEDIUM', 'HIGH']",5,0.04,0.12,0.05,False,False,,,164.2161,173,0.6127,527.45,3.0488,1.5463,1.2889,-5.76,True
AAPL,52.0,0.75,"['MEDIUM', 'HIGH']",10,0.04,0.06,0.15,False,False,,,163.4327,236,0.5678,2266.59,9.6042,1.3689,0.7106,-16.49,True
AAPL,52.0,0.0,"['MEDIUM', 'HIGH']",5,0.08,0.06,0.15,False,False,,,161.9032,625,0.56,2870.51,4.5928,1.2013,0.5185,-21.97,True
AAPL,58.0,0.5,"['MEDIUM', 'HIGH']",10,0.04,0.06,0.15,False,False,,,161.8698,249,0.5703,2334.01,9.3735,1.3549,0.6876,-18.43,True
AAPL,58.0,0.5,"['MEDIUM', 'HIGH']",5,0.04,0.12,0.15,False,False,,,161.2026,249,0.5904,1737.69,6.9787,1.3521,0.8948,-16.36,True
AAPL,62.5,0.0,"['MEDIUM', 'HIGH']",5,0.04,0.12,0.05,False,False,,,160.5712,174,0.6092,517.2,2.9724,1.5306,1.259,-5.85,True
AAPL,62.5,0.5,"['MEDIUM', 'HIGH']",5,0.08,0.06,0.15,False,False,,,160.4258,173,0.6301,1408.69,8.1427,1.4211,0.9999,-15.62,True
AAPL,52.0,0.0,['MEDIUM'],5,0.04,0.06,0.05,False,False,,,159.5764,188,0.5904,521.8,2.7755,1.5246,1.226,-3.33,True
AAPL,52.0,0.5,['MEDIUM'],10,0.04,0.12,0.05,False,False,,,159.5554,178,0.6236,843.36,4.738,1.6952,1.0938,-4.51,True
AAPL,58.0,0.0,"['MEDIUM', 'HIGH']",5,0.04,0.12,0.15,False,False,,,157.693,250,0.588,1703.65,6.8146,1.3438,0.8767,-16.6,True
AAPL,62.5,0.5,"['MEDIUM', 'HIGH']",10,0.04,0.12,0.05,False,False,,,157.6261,173,0.5954,873.86,5.0512,1.6644,1.0921,-6.76,True
AAPL,62.5,0.0,"['MEDIUM', 'HIGH']",5,0.08,0.06,0.15,False,False,,,156.1643,174,0.6264,1375.54,7.9054,1.4084,0.9744,-15.87,True
AAPL,58.0,0.0,"['MEDIUM', 'HIGH']",10,0.04,0.06,0.15,False,False,,,155.7947,250,0.568,2255.38,9.0215,1.3411,0.6647,-18.95,True
AAPL,58.0,0.75,"['MEDIUM', 'HIGH']",10,0.08,0.12,0.15,False,False,,,155.3666,224,0.6205,2418.59,10.7973,1.3653,0.6418,-24.8,True
AAPL,52.0,0.5,"['MEDIUM', 'HIGH']",10,0.04,0.12,0.05,False,False,,,153.5294,450,0.5533,1734.81,3.8551,1.4244,0.7509,-9.14,True
AAPL,62.5,0.75,"['MEDIUM', 'HIGH']",5,0.08,0.12,0.05,False,False,,,153.3349,161,0.6398,503.7,3.1286,1.5171,1.1779,-4.99,True
AAPL,62.5,0.0,"['MEDIUM', 'HIGH']",10,0.04,0.12,0.05,False,False,,,152.8559,174,0.592,850.75,4.8894,1.6373,1.0576,-6.96,True
