ticker,val_accuracy,baseline_val,max_depth,learning_rate,subsample,colsample_bytree,min_child_weight
AMZN,60.4265,60.4265,4,0.03,0.85,0.6,5
AMZN,60.4265,60.4265,4,0.03,0.85,0.6,1
AMZN,60.4265,60.4265,4,0.05,0.7,0.8,3
AMZN,60.4265,60.4265,4,0.03,0.7,0.8,3
AMZN,60.4265,60.4265,4,0.03,0.85,0.8,3
AMZN,60.4265,60.4265,4,0.03,0.7,0.8,1
AMZN,60.4265,60.4265,4,0.08,0.85,0.6,5
AMZN,60.4265,60.4265,4,0.08,0.85,0.8,1
AMZN,60.4265,60.4265,4,0.03,0.7,0.6,5
AMZN,60.4265,60.4265,4,0.08,0.85,0.8,3
AMZN,60.4265,60.4265,4,0.08,0.85,0.8,5
AMZN,60.1896,60.4265,8,0.03,0.7,0.8,1
AMZN,60.1896,60.4265,8,0.03,0.7,0.8,3
AMZN,60.1896,60.4265,6,0.03,0.7,0.6,1
AMZN,60.1896,60.4265,4,0.03,0.7,0.6,3
AMZN,60.1896,60.4265,6,0.03,0.7,0.6,3
AMZN,60.1896,60.4265,6,0.03,0.85,0.8,1
AMZN,60.1896,60.4265,6,0.03,0.7,0.6,5
AMZN,59.9526,60.4265,6,0.05,0.7,0.6,5
AMZN,59.9526,60.4265,8,0.05,0.85,0.6,5
AMZN,59.9526,60.4265,4,0.05,0.7,0.8,5
AMZN,59.9526,60.4265,8,0.03,0.7,0.6,3
AMZN,59.9526,60.4265,6,0.08,0.85,0.6,1
AMZN,59.7156,60.4265,6,0.03,0.85,0.8,5
AMZN,59.4787,60.4265,4,0.05,0.7,0.6,1
AMZN,59.4787,60.4265,8,0.03,0.7,0.8,5
AMZN,59.4787,60.4265,8,0.03,0.7,0.6,1
AMZN,59.4787,60.4265,6,0.05,0.85,0.6,1
AMZN,59.4787,60.4265,6,0.03,0.7,0.8,5
AMZN,59.4787,60.4265,6,0.03,0.85,0.6,5
AMZN,59.2417,60.4265,4,0.05,0.85,0.8,3
AMZN,59.2417,60.4265,6,0.03,0.85,0.8,3
AMZN,59.2417,60.4265,6,0.05,0.7,0.6,1
AMZN,59.2417,60.4265,8,0.05,0.7,0.8,5
AMZN,59.2417,60.4265,8,0.05,0.7,0.8,1
AMZN,59.2417,60.4265,8,0.05,0.7,0.6,5
AMZN,59.0047,60.4265,8,0.05,0.7,0.6,1
AMZN,59.0047,60.4265,6,0.05,0.7,0.6,3
AMZN,59.0047,60.4265,8,0.05,0.85,0.6,1
AMZN,59.0047,60.4265,6,0.08,0.85,0.6,5
AMZN,58.7678,60.4265,4,0.05,0.7,0.6,5
AMZN,58.7678,60.4265,4,0.05,0.85,0.6,3
AMZN,58.7678,60.4265,6,0.05,0.85,0.6,3
AMZN,58.5308,60.4265,4,0.05,0.85,0.6,1
AMZN,58.2938,60.4265,8,0.08,0.7,0.8,5
AMZN,58.0569,60.4265,8,0.05,0.7,0.6,3
AMZN,58.0569,60.4265,6,0.08,0.7,0.6,5
AMZN,58.0569,60.4265,4,0.03,0.85,0.8,1
AMZN,57.8199,60.4265,4,0.08,0.7,0.6,1
AMZN,57.8199,60.4265,4,0.05,0.7,0.6,3
AMZN,57.5829,60.4265,4,0.08,0.7,0.6,5
AMZN,57.346,60.4265,4,0.05,0.85,0.8,5
AMZN,57.346,60.4265,4,0.08,0.7,0.6,3
AMZN,57.109,60.4265,4,0.05,0.85,0.8,1
AMZN,56.6351,60.4265,8,0.08,0.7,0.6,5
AMZN,56.3981,60.4265,6,0.08,0.85,0.6,3
AMZN,56.3981,60.4265,6,0.05,0.85,0.8,1
AMZN,56.3981,60.4265,8,0.05,0.85,0.6,3
AMZN,56.3981,60.4265,8,0.03,0.85,0.6,5
AMZN,56.3981,60.4265,4,0.05,0.7,0.8,1
AMZN,56.1611,60.4265,8,0.08,0.7,0.6,1
AMZN,55.6872,60.4265,6,0.08,0.7,0.6,1
AMZN,55.6872,60.4265,8,0.03,0.85,0.6,3
AMZN,55.4502,60.4265,4,0.08,0.7,0.8,1
AMZN,55.2133,60.4265,6,0.05,0.7,0.8,5
AMZN,54.2654,60.4265,4,0.03,0.85,0.6,3
AMZN,51.6588,60.4265,6,0.05,0.85,0.8,5
