group_type,group,trades,win_rate,avg_pnl,median_pnl,total_pnl,avg_holding_days,avg_position_pct,profit_factor
ticker,SPGI,31,0.5161,-2.07,5.56,-64.16,2.58,20.0,0.813
ticker,JPM,5,0.2,-13.69,-26.71,-68.43,3.4,20.0,0.355
ticker,GOOGL,7,0.4286,-9.78,-5.6,-68.49,3.86,20.0,0.474
ticker,PFE,4,0.25,-17.77,-19.44,-71.08,3.0,20.0,0.151
ticker,AMGN,5,0.4,-15.05,-12.33,-75.24,4.0,20.0,0.377
ticker,DUK,5,0.2,-15.06,-25.14,-75.31,3.4,20.0,0.299
ticker,O,27,0.4815,-2.8,-5.1,-75.5,2.96,20.0,0.756
ticker,ECL,8,0.375,-9.52,-15.18,-76.13,3.75,20.0,0.359
ticker,BRK-B,6,0.5,-12.73,-13.97,-76.4,2.67,20.0,0.428
ticker,TJX,14,0.4286,-5.49,-9.77,-76.82,3.5,19.9,0.647
ticker,ED,3,0.0,-25.84,-25.5,-77.52,3.67,20.0,0.0
ticker,INTC,3,0.0,-26.14,-31.32,-78.42,4.0,20.0,0.0
ticker,MDT,2,0.0,-39.47,-39.47,-78.94,3.0,20.0,0.0
ticker,UNH,33,0.4545,-2.5,-4.69,-82.37,3.27,20.0,0.787
ticker,ORCL,11,0.5455,-7.67,4.48,-84.32,2.91,19.22,0.517
ticker,AAPL,7,0.4286,-12.18,-23.29,-85.26,3.57,20.0,0.358
ticker,NUE,3,0.0,-29.08,-26.38,-87.23,4.0,20.0,0.0
ticker,AMD,8,0.375,-11.05,-13.2,-88.38,4.0,14.6,0.598
ticker,AMZN,3,0.3333,-30.25,-44.83,-90.76,3.33,20.0,0.149
ticker,ABT,10,0.4,-9.38,-19.07,-93.83,3.1,20.0,0.36
ticker,FDX,14,0.5,-6.74,-8.35,-94.37,3.0,19.65,0.708
ticker,NOW,7,0.4286,-14.04,-28.83,-98.3,3.43,19.96,0.371
ticker,KO,33,0.4848,-3.37,-0.64,-111.37,3.18,20.0,0.642
ticker,MA,19,0.3684,-6.0,-5.29,-113.94,3.84,19.84,0.598
ticker,SBUX,8,0.25,-14.6,-26.46,-116.84,2.12,20.0,0.269
ticker,MS,20,0.4,-5.9,-8.05,-118.0,4.15,20.0,0.618
ticker,UNP,24,0.4583,-5.03,-0.82,-120.77,3.12,20.0,0.544
ticker,TMUS,44,0.5,-3.12,0.02,-137.19,2.75,20.0,0.684
ticker,TXN,4,0.25,-34.89,-54.86,-139.55,1.5,20.0,0.195
ticker,NVDA,13,0.5385,-10.89,0.94,-141.51,3.92,19.41,0.582
ticker,VLO,4,0.25,-35.38,-36.98,-141.53,2.25,19.97,0.284
ticker,GS,6,0.1667,-25.79,-31.2,-154.71,3.5,20.0,0.128
ticker,CSCO,28,0.4286,-5.64,-3.11,-158.04,3.71,20.0,0.526
ticker,CRM,6,0.1667,-27.32,-27.32,-163.9,4.83,19.28,0.121
ticker,ADBE,10,0.3,-16.72,-23.81,-167.23,2.7,20.0,0.44
ticker,EQR,9,0.2222,-19.24,-23.72,-173.12,3.44,20.0,0.12
ticker,KMI,18,0.3333,-9.98,-17.37,-179.64,2.78,19.86,0.401
ticker,F,9,0.3333,-20.04,-35.97,-180.39,2.11,20.0,0.312
ticker,BMY,5,0.0,-45.56,-39.96,-227.78,3.6,20.0,0.0
ticker,VZ,20,0.3,-11.41,-19.05,-228.15,2.65,20.0,0.221
ticker,AVGO,8,0.125,-28.94,-39.96,-231.53,4.38,19.2,0.17
ticker,CVS,14,0.2857,-17.36,-21.7,-243.09,3.71,20.0,0.203
