group_type,group,trades,win_rate,avg_pnl,median_pnl,total_pnl,avg_holding_days,avg_position_pct,profit_factor
ticker,AVB,4,0.25,-10.14,-6.06,-40.58,3.25,20.0,0.176
ticker,ISRG,8,0.5,-5.11,-2.09,-40.92,3.25,20.0,0.783
ticker,SRE,3,0.3333,-14.66,-22.04,-43.98,2.0,20.0,0.198
ticker,PG,8,0.5,-5.57,-2.08,-44.53,2.75,20.0,0.636
ticker,EOG,3,0.3333,-14.96,-38.34,-44.89,4.0,18.87,0.531
ticker,AMGN,3,0.3333,-15.14,-12.5,-45.41,4.0,20.0,0.313
ticker,EXC,3,0.3333,-17.19,-31.06,-51.58,2.67,20.0,0.251
ticker,D,9,0.3333,-5.75,-2.71,-51.73,3.78,20.0,0.521
ticker,WMT,12,0.5833,-4.32,5.41,-51.78,2.5,20.0,0.546
ticker,VZ,15,0.4667,-3.47,-3.09,-52.03,2.33,20.0,0.662
ticker,GIS,2,0.0,-26.13,-26.13,-52.27,2.0,20.0,0.0
ticker,ECL,5,0.4,-10.48,-11.33,-52.38,3.4,20.0,0.388
ticker,XOM,6,0.5,-9.18,-6.94,-55.05,3.0,20.0,0.427
ticker,NOW,3,0.3333,-19.15,-29.45,-57.46,5.0,19.9,0.071
ticker,SYY,7,0.4286,-8.28,-8.45,-57.94,3.43,20.0,0.223
ticker,BMY,2,0.0,-29.9,-29.9,-59.79,3.5,20.0,0.0
ticker,PFE,2,0.0,-30.09,-30.09,-60.19,3.5,20.0,0.0
ticker,MU,3,0.3333,-20.08,-46.31,-60.24,2.0,20.0,0.527
ticker,AEP,9,0.4444,-6.93,-8.13,-62.36,3.11,20.0,0.356
ticker,OXY,2,0.0,-31.25,-31.25,-62.5,2.5,20.0,0.0
ticker,PLD,4,0.25,-15.77,-27.25,-63.07,3.25,20.0,0.285
ticker,MMM,8,0.375,-8.09,-11.67,-64.71,4.38,20.0,0.377
ticker,BAC,4,0.25,-17.1,-23.18,-68.39,2.5,20.0,0.319
ticker,USB,3,0.0,-22.87,-25.6,-68.62,4.33,20.0,0.0
ticker,EQIX,23,0.6087,-3.02,8.54,-69.43,3.39,19.99,0.808
ticker,NEE,2,0.0,-35.1,-35.1,-70.2,1.0,20.0,0.0
ticker,GM,8,0.375,-9.04,-23.77,-72.34,2.5,20.0,0.545
ticker,NUE,8,0.375,-9.57,-14.36,-76.54,3.62,20.0,0.41
ticker,EQR,7,0.4286,-11.05,-32.4,-77.34,2.86,20.0,0.482
ticker,BRK-B,5,0.4,-15.71,-24.0,-78.56,2.6,20.0,0.349
ticker,NKE,2,0.0,-39.72,-39.72,-79.43,4.5,20.0,0.0
ticker,BSX,3,0.3333,-27.24,-34.32,-81.72,2.33,20.0,0.126
ticker,AMD,7,0.4286,-12.0,-21.25,-83.97,3.71,14.45,0.607
ticker,TXN,3,0.3333,-28.07,-52.79,-84.22,1.67,20.0,0.29
ticker,CI,4,0.5,-21.59,-20.44,-86.35,4.5,20.0,0.158
ticker,KMI,17,0.5294,-5.29,2.36,-89.94,3.35,19.86,0.661
ticker,ED,4,0.0,-22.59,-23.45,-90.37,3.25,20.0,0.0
ticker,NOC,6,0.1667,-15.17,-24.5,-91.05,2.83,20.0,0.289
ticker,MSFT,25,0.48,-3.76,-9.19,-93.89,2.72,19.67,0.766
ticker,JPM,3,0.0,-31.63,-30.36,-94.88,3.33,20.0,0.0
ticker,APD,4,0.0,-24.3,-27.34,-97.19,3.75,20.0,0.0
ticker,ROST,3,0.0,-32.84,-32.16,-98.52,3.33,20.0,0.0
ticker,VLO,5,0.4,-19.89,-29.61,-99.47,2.4,19.98,0.505
ticker,UPS,6,0.1667,-16.78,-22.81,-100.68,2.17,20.0,0.18
ticker,SBUX,4,0.0,-27.2,-28.84,-108.78,3.0,20.0,0.0
ticker,RTX,9,0.3333,-12.43,-20.55,-111.91,3.11,20.0,0.331
ticker,COP,7,0.2857,-16.57,-25.41,-115.96,3.43,19.87,0.398
ticker,GS,6,0.1667,-20.83,-31.45,-124.96,4.33,20.0,0.246
ticker,AVGO,3,0.0,-44.5,-50.36,-133.5,5.0,18.27,0.0
ticker,ADBE,11,0.3636,-12.67,-10.05,-139.34,2.82,20.0,0.533
ticker,O,36,0.4444,-4.0,-4.36,-143.88,3.22,20.0,0.687
ticker,MRK,7,0.1429,-20.8,-23.95,-145.61,3.0,20.0,0.119
ticker,TJX,18,0.4444,-8.15,-9.99,-146.74,3.56,19.92,0.507
ticker,F,8,0.375,-18.49,-37.3,-147.91,2.75,20.0,0.352
ticker,UNP,22,0.4091,-6.76,-15.65,-148.74,3.45,20.0,0.573
ticker,HON,18,0.4444,-8.29,-10.21,-149.19,3.0,20.0,0.453
ticker,PSX,4,0.0,-39.31,-35.9,-157.22,2.25,20.0,0.0
ticker,CRM,6,0.1667,-27.5,-27.88,-165.02,4.83,19.28,0.124
ticker,MA,12,0.3333,-14.26,-27.89,-171.13,2.92,19.82,0.493
ticker,MS,18,0.4444,-10.94,-30.57,-196.87,3.17,19.81,0.521
ticker,GOOGL,15,0.3333,-13.96,-26.42,-209.39,3.27,20.0,0.352
ticker,MCD,23,0.3478,-9.95,-23.53,-228.79,3.39,20.0,0.405
