horizon,target,family,n_features,mean_abs_t,max_abs_t,mean_abs_ic
5,sector_excess,hl_,2,0.5478537526262601,0.8417145409588537,0.0012514052465139246
5,sector_excess,news_,1,0.42519183360226087,0.42519183360226087,0.002414330746496089
5,sector_excess,tf_,1,0.38922296198255346,0.38922296198255346,0.0006826354614242915
5,sector_excess,hvol_,3,0.2980326392467905,0.6238406469889666,0.0006683344094365927
5,sector_excess,spread_,1,0.19722918090604785,0.19722918090604785,0.00040721321946623465
5,sector_excess,variance_,1,0.01721501644188644,0.01721501644188644,2.5583116803083883e-05
5,xs_excess,sent_z_,16,4.492593531399765,7.061511112336754,0.007768056497357703
5,xs_excess,xs_rank_sector_,15,3.9770638950508115,7.173556356592254,0.00843300812412142
5,xs_excess,uptick_,1,3.612490994262432,3.612490994262432,0.008776515761597992
5,xs_excess,factor_,6,3.5981713396464605,4.852338389247914,0.01273946278719651
5,xs_excess,ret_,12,3.1066542051719073,4.871512571194091,0.008701007482809735
5,xs_excess,vwap_,1,3.091703226133357,3.091703226133357,0.009765852840566363
5,xs_excess,roc_,2,2.948621367615084,4.388523589444708,0.005412384091059104
5,xs_excess,vol_,5,2.8949562828195665,3.4027838713338805,0.005089886313345438
5,xs_excess,dist_,5,2.877165222068089,4.317748439416167,0.009137094469284254
5,xs_excess,xs_rank_market_,15,2.8537058217893434,4.999937770619913,0.009562566844561332
5,xs_excess,obv_,1,2.842785460759387,2.842785460759387,0.00551715237450642
5,xs_excess,hl_,2,2.6693591327071595,3.0827122473420365,0.009321528434808185
5,xs_excess,drawdown_,2,2.6585124336989194,3.2449992984103697,0.008938300937375302
5,xs_excess,macd_,4,2.5669913594415243,3.3849641345021113,0.007489579418510137
5,xs_excess,ma_,2,2.4413007686441923,2.8288327377237334,0.0065903433666462275
5,xs_excess,sent_,7,2.3951618120587357,4.450108715903854,0.007111262172220669
5,xs_excess,sector_,5,2.355383518845702,4.841536798887065,0.005031528702405877
5,xs_excess,volume_,2,2.3383125671787917,2.6104986132453987,0.003964345546742246
5,xs_excess,hvol_,3,2.24628143691127,3.5502960551654987,0.007840051163343464
5,xs_excess,rsi_,3,2.2413202088087405,3.154706925288828,0.006412434385598478
5,xs_excess,spread_,1,2.2155459375275326,2.2155459375275326,0.006958376335082798
5,xs_excess,bb_,2,2.1469573635694337,2.7284948129916455,0.006550711619860237
5,xs_excess,monthly_,2,1.9497100872584228,2.1308881855277315,0.005619686731286206
5,xs_excess,tf_,1,1.929523379194609,1.929523379194609,0.005046096719492954
5,xs_excess,weekly_,3,1.819334776861729,2.232497755260569,0.0056396736396742584
5,xs_excess,atr_,3,1.618863557466326,3.247447113701171,0.005717007794534614
5,xs_excess,vix_,3,1.1024692557097093,2.1179619729379673,0.007563639398607459
5,xs_excess,regime_,2,1.1010067226302904,1.6267017656515874,0.00327298570392378
5,xs_excess,spy_,10,1.0993258075817653,2.952194733975026,0.004147904898751875
5,xs_excess,macro_,7,1.0905290436660255,2.6073020299085763,0.001768146043722677
5,xs_excess,qqq_,6,0.9871778295863777,1.7367138172768741,0.00428017341474594
5,xs_excess,variance_,1,0.8603341581738075,0.8603341581738075,0.0017816875422334184
5,xs_excess,sentiment_,5,0.7949682895920306,1.9443951521479927,0.003949015845239499
5,xs_excess,breadth_,4,0.637935888142288,1.2123624966525817,0.0010981379068810905
5,xs_excess,headline_,2,0.5007987145539452,0.6342859828978482,0.002128941255849186
5,xs_excess,news_,1,0.014219816432477047,0.014219816432477047,8.018805920602769e-05
