ticker,approved_for_live,approval_status,approval_reason,direction_accuracy,baseline_up_rate,direction_edge_pp,return_spearman,threshold_used_fallback,confidence_threshold,evaluated_at,walkforward_trades,walkforward_win_rate,walkforward_total_pnl,walkforward_sharpe,walkforward_max_drawdown_pct,quality_source,portfolio_sharpe,portfolio_max_drawdown_pct,portfolio_total_return_pct,portfolio_nw_tstat_vs_cash,walkforward_avg_win,walkforward_avg_loss,walkforward_avg_win_loss_ratio,walkforward_profit_factor,walkforward_avg_expected_return,walkforward_exposure_pct,portfolio_cagr_pct,portfolio_avg_gross_exposure_pct,portfolio_in_market_pct,rank_spearman,confidence_validated,confidence_validation_reason,daily_rank_ic_mean,daily_rank_ic_tstat
EQIX,False,rejected,confidence_not_validated: confidence_not_correlated_with_correctness; bucket_precision_not_monotonic,47.88,46.41,1.47,,True,52.5,2026-05-02T18:03:48,14,0.7143,161.45,1.927,-0.33,backtest_walkforward,0.542,-17.47,139.1,2.443,25.98,24.59,1.056,2.641,0.1521,19.45,5.49,21.6,39.86,0.0126,False,confidence_not_correlated_with_correctness; bucket_precision_not_monotonic,0.0011,0.318
WMB,False,rejected,confidence_not_validated: confidence_not_correlated_with_correctness; bucket_precision_not_monotonic,47.88,46.41,1.47,,True,52.5,2026-05-02T18:03:48,13,0.6154,218.96,2.118,-0.54,backtest_walkforward,0.542,-17.47,139.1,2.443,44.29,27.08,1.636,2.617,0.1162,19.45,5.49,21.6,39.86,0.0126,False,confidence_not_correlated_with_correctness; bucket_precision_not_monotonic,0.0011,0.318
MCD,False,rejected,confidence_not_validated: confidence_not_correlated_with_correctness; bucket_precision_not_monotonic; walkforward_trades 8 < 10; avg_win_loss_ratio 0.865 < 1.000,47.88,46.41,1.47,,True,52.5,2026-05-02T18:03:48,8,0.75,50.88,2.106,-0.26,backtest_walkforward,0.542,-17.47,139.1,2.443,13.8,15.96,0.865,2.594,0.3738,20.0,5.49,21.6,39.86,0.0126,False,confidence_not_correlated_with_correctness; bucket_precision_not_monotonic,0.0011,0.318
ETN,False,rejected,confidence_not_validated: confidence_not_correlated_with_correctness; bucket_precision_not_monotonic; walkforward_trades 3 < 10,47.88,46.41,1.47,,True,52.5,2026-05-02T18:03:48,3,0.6667,38.58,1.725,-0.29,backtest_walkforward,0.542,-17.47,139.1,2.443,33.86,29.14,1.162,2.324,0.3567,20.0,5.49,21.6,39.86,0.0126,False,confidence_not_correlated_with_correctness; bucket_precision_not_monotonic,0.0011,0.318
GM,False,rejected,confidence_not_validated: confidence_not_correlated_with_correctness; bucket_precision_not_monotonic; walkforward_trades 5 < 10; avg_win_loss_ratio 0.511 < 1.000,47.88,46.41,1.47,,True,52.5,2026-05-02T18:03:48,5,0.8,64.78,1.4,-0.62,backtest_walkforward,0.542,-17.47,139.1,2.443,31.71,62.05,0.511,2.044,0.498,19.5,5.49,21.6,39.86,0.0126,False,confidence_not_correlated_with_correctness; bucket_precision_not_monotonic,0.0011,0.318
ISRG,False,rejected,confidence_not_validated: confidence_not_correlated_with_correctness; bucket_precision_not_monotonic; walkforward_trades 4 < 10; avg_win_loss_ratio 0.638 < 1.000,47.88,46.41,1.47,,True,52.5,2026-05-02T18:03:48,4,0.75,43.12,1.235,-0.47,backtest_walkforward,0.542,-17.47,139.1,2.443,30.08,47.11,0.638,1.915,0.3925,20.0,5.49,21.6,39.86,0.0126,False,confidence_not_correlated_with_correctness; bucket_precision_not_monotonic,0.0011,0.318
NEM,False,rejected,confidence_not_validated: confidence_not_correlated_with_correctness; bucket_precision_not_monotonic,47.88,46.41,1.47,,True,52.5,2026-05-02T18:03:48,11,0.6364,112.89,1.255,-0.88,backtest_walkforward,0.542,-17.47,139.1,2.443,35.16,33.31,1.056,1.847,0.3064,18.73,5.49,21.6,39.86,0.0126,False,confidence_not_correlated_with_correctness; bucket_precision_not_monotonic,0.0011,0.318
SPG,False,rejected,confidence_not_validated: confidence_not_correlated_with_correctness; bucket_precision_not_monotonic; walkforward_trades 4 < 10; avg_win_loss_ratio 0.591 < 1.000,47.88,46.41,1.47,,True,52.5,2026-05-02T18:03:48,4,0.75,37.08,1.117,-0.48,backtest_walkforward,0.542,-17.47,139.1,2.443,28.34,47.93,0.591,1.774,0.6125,20.0,5.49,21.6,39.86,0.0126,False,confidence_not_correlated_with_correctness; bucket_precision_not_monotonic,0.0011,0.318
KO,False,rejected,confidence_not_validated: confidence_not_correlated_with_correctness; bucket_precision_not_monotonic; walkforward_trades 5 < 10; avg_win_loss_ratio 0.440 < 1.000,47.88,46.41,1.47,,True,52.5,2026-05-02T18:03:48,5,0.8,18.28,1.147,-0.24,backtest_walkforward,0.542,-17.47,139.1,2.443,10.59,24.1,0.44,1.759,0.088,20.0,5.49,21.6,39.86,0.0126,False,confidence_not_correlated_with_correctness; bucket_precision_not_monotonic,0.0011,0.318
NEE,False,rejected,confidence_not_validated: confidence_not_correlated_with_correctness; bucket_precision_not_monotonic; walkforward_trades 9 < 10; avg_win_loss_ratio 0.500 < 1.000,47.88,46.41,1.47,,True,52.5,2026-05-02T18:03:48,9,0.7778,48.09,1.151,-0.35,backtest_walkforward,0.542,-17.47,139.1,2.443,16.02,32.01,0.5,1.751,0.2689,20.0,5.49,21.6,39.86,0.0126,False,confidence_not_correlated_with_correctness; bucket_precision_not_monotonic,0.0011,0.318
