group_type,group,trades,win_rate,avg_pnl,median_pnl,total_pnl,avg_holding_days,avg_position_pct,profit_factor
ticker,META,5,0.6,-7.58,4.67,-37.89,4.0,20.0,0.695
ticker,PH,6,0.5,-7.2,-2.54,-43.22,4.67,20.0,0.556
ticker,MS,4,0.25,-12.29,-24.93,-49.14,3.25,20.0,0.477
ticker,XOM,2,0.0,-24.7,-24.7,-49.39,3.0,20.0,0.0
ticker,GS,7,0.5714,-7.65,28.53,-53.54,3.57,20.0,0.733
ticker,NEE,6,0.3333,-9.8,-20.27,-58.78,2.83,20.0,0.424
ticker,ROST,11,0.4545,-5.46,-6.63,-60.09,3.82,19.32,0.664
ticker,MMM,4,0.25,-15.36,-18.38,-61.46,4.75,20.0,0.279
ticker,FCX,12,0.4167,-5.24,-10.52,-62.91,3.25,17.7,0.81
ticker,BAC,7,0.4286,-9.5,-27.77,-66.49,3.43,20.0,0.604
ticker,FDX,5,0.4,-13.32,-37.3,-66.6,4.0,20.0,0.533
ticker,BA,3,0.3333,-22.28,-41.69,-66.83,2.67,19.49,0.456
ticker,PFE,7,0.2857,-9.58,-10.13,-67.04,4.43,20.0,0.413
ticker,IBM,5,0.2,-13.93,-24.01,-69.67,3.8,20.0,0.208
ticker,EQR,8,0.375,-9.21,-19.66,-73.72,3.5,20.0,0.573
ticker,GE,4,0.25,-18.58,-23.93,-74.32,3.5,18.96,0.185
ticker,MO,3,0.3333,-25.53,-45.27,-76.58,3.67,20.0,0.205
ticker,AMT,3,0.3333,-25.56,-53.72,-76.68,4.33,20.0,0.381
ticker,AXP,10,0.4,-7.72,-14.26,-77.17,2.6,20.0,0.613
ticker,ORCL,6,0.3333,-13.22,-26.67,-79.35,2.33,15.98,0.461
ticker,INTC,13,0.4615,-6.26,-17.7,-81.36,4.15,18.82,0.72
ticker,CCI,3,0.0,-27.4,-34.98,-82.19,3.33,20.0,0.0
ticker,NKE,6,0.5,-13.84,-24.73,-83.02,2.83,19.56,0.505
ticker,ABBV,9,0.4444,-9.43,-3.12,-84.84,3.67,19.9,0.606
ticker,PM,4,0.25,-21.97,-39.08,-87.89,2.5,20.0,0.339
ticker,XEL,7,0.4286,-13.45,-24.26,-94.16,2.71,20.0,0.233
ticker,CMCSA,9,0.3333,-10.67,-23.64,-96.02,4.11,20.0,0.294
ticker,UNH,6,0.3333,-16.05,-17.67,-96.3,3.67,20.0,0.149
ticker,ETN,2,0.0,-48.3,-48.3,-96.61,3.0,20.0,0.0
ticker,NOC,11,0.2727,-8.87,-19.4,-97.58,3.0,20.0,0.439
ticker,PEP,5,0.2,-19.52,-25.75,-97.62,3.2,20.0,0.138
ticker,GM,7,0.4286,-14.4,-28.69,-100.83,3.14,20.0,0.449
ticker,DIS,4,0.25,-25.56,-36.31,-102.25,2.5,20.0,0.203
ticker,TXN,8,0.375,-12.96,-19.91,-103.67,2.88,20.0,0.467
ticker,BLK,4,0.25,-26.16,-34.84,-104.66,3.5,20.0,0.221
ticker,EOG,8,0.375,-13.11,-27.72,-104.89,3.38,16.39,0.592
ticker,CAT,3,0.3333,-35.24,-51.14,-105.72,3.33,20.0,0.058
ticker,PSA,5,0.2,-21.32,-26.02,-106.58,3.2,20.0,0.132
ticker,PLD,3,0.0,-35.78,-33.34,-107.33,3.67,19.58,0.0
ticker,DE,5,0.4,-22.04,-53.59,-110.19,4.4,20.0,0.378
ticker,QCOM,6,0.5,-21.25,-13.89,-127.53,3.5,20.0,0.182
ticker,WELL,11,0.4545,-12.53,-20.44,-137.87,3.09,20.0,0.418
ticker,BMY,3,0.0,-47.17,-39.38,-141.52,3.67,20.0,0.0
ticker,AMAT,13,0.5385,-10.9,3.56,-141.71,4.08,17.38,0.583
ticker,AMGN,4,0.25,-36.59,-44.13,-146.37,4.75,20.0,0.157
ticker,AAPL,5,0.0,-29.67,-34.06,-148.36,2.6,20.0,0.0
ticker,T,7,0.1429,-21.58,-22.87,-151.06,3.0,20.0,0.115
ticker,CRM,6,0.3333,-25.39,-50.78,-152.36,4.33,18.9,0.389
ticker,NEM,6,0.3333,-27.03,-41.74,-162.2,3.0,18.86,0.385
ticker,ISRG,5,0.2,-36.17,-42.64,-180.86,4.2,20.0,0.138
ticker,ADBE,7,0.2857,-28.33,-42.83,-198.32,3.57,19.67,0.233
ticker,NVDA,10,0.4,-22.66,-32.37,-226.63,3.6,19.07,0.359
ticker,OXY,6,0.1667,-39.59,-41.47,-237.51,3.83,14.11,0.017
ticker,SBUX,5,0.0,-49.21,-53.04,-246.04,2.4,20.0,0.0
ticker,NFLX,23,0.4348,-12.53,-17.26,-288.08,2.78,18.33,0.591
ticker,CHTR,9,0.1111,-34.59,-34.09,-311.33,3.22,20.0,0.057
