group_type,group,trades,win_rate,avg_pnl,median_pnl,total_pnl,profit_factor,raw_sharpe_proxy,avg_confidence,avg_expected_return,avg_rank_score,avg_holding_days
ticker,ABT,2,0.0,-29.52,-29.52,-59.04,0.0,-7.893,52.52,-0.145,0.0084,1.0
ticker,JPM,2,0.0,-29.71,-29.71,-59.41,0.0,-6.081,52.86,-0.185,-0.0086,4.5
ticker,KO,24,0.5833,-2.5,5.56,-60.07,0.729,-0.138,51.69,0.1979,-0.0064,3.04
ticker,INTC,1,0.0,-60.42,-60.42,-60.42,0.0,-60420000000.0,50.71,0.07,-0.0091,1.0
ticker,OMC,5,0.4,-12.59,-21.48,-62.97,0.372,-0.471,51.01,0.23,-0.0088,1.8
ticker,TXN,1,0.0,-67.08,-67.08,-67.08,0.0,-67080000000.0,50.16,-0.11,-0.0625,3.0
ticker,AMGN,4,0.25,-16.83,-21.05,-67.32,0.289,-0.576,51.68,0.335,-0.0016,3.25
ticker,OXY,4,0.25,-17.09,-24.81,-68.38,0.18,-0.864,50.79,0.2325,0.0083,2.75
ticker,DIS,4,0.25,-18.1,-27.66,-72.41,0.236,-0.757,50.69,0.0975,-0.0024,3.25
ticker,V,4,0.0,-18.42,-21.52,-73.67,0.0,-2.205,51.89,-0.14,-0.0043,3.5
ticker,WMB,1,0.0,-74.23,-74.23,-74.23,0.0,-74230000000.0,50.21,0.08,-0.0064,1.0
ticker,CHTR,3,0.3333,-25.22,-51.21,-75.67,0.292,-0.632,50.58,0.17,-0.0016,4.0
ticker,MU,1,0.0,-78.97,-78.97,-78.97,0.0,-78970000000.0,51.56,0.02,0.0213,1.0
ticker,EOG,2,0.0,-39.73,-39.73,-79.46,0.0,-90.295,50.64,0.285,-0.0031,3.0
ticker,SRE,3,0.0,-27.02,-32.01,-81.07,0.0,-3.568,51.33,0.4967,-0.0005,2.67
ticker,DD,2,0.0,-40.58,-40.58,-81.15,0.0,-2.224,50.2,0.4,0.0063,3.0
ticker,UPS,6,0.3333,-13.53,-21.3,-81.18,0.223,-0.738,50.6,0.1967,0.0,2.83
